Drugs ,Cell line,TCGA classification,Tissue,Tissue sub-type,IC50,AUC,Smiles
,CTV-1,LAML,blood,acute_myeloid_leukaemia,0.008024,0.909767,
,H4,LGG,nervous_system,glioma,0.008029,0.870047,
,BC-1,DLBC,blood,B_cell_lymphoma,0.008134,0.897362,
,LNCaP-Clone-FGC,PRAD,urogenital_system,prostate,0.008161,0.841625,
,DU-4475,BRCA,breast,breast,0.008507,0.908721,
,A3-KAW,DLBC,blood,B_cell_lymphoma,0.008997,0.914158,
,ML-2,LAML,blood,acute_myeloid_leukaemia,0.009108,0.902967,
,RC-K8,DLBC,blood,B_cell_lymphoma,0.009571,0.866563,
,IM-9,MM,blood,myeloma,0.009582,0.911944,
,BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,0.009769,0.951817,
,C-33-A,CESC,urogenital_system,cervix,0.009837,0.869221,
,CCRF-CEM,ALL,blood,lymphoblastic_leukemia,0.009885,0.929327,
,P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,0.010041,0.944452,
,SNU-175,COREAD,digestive_system,large_intestine,0.010222,0.875313,
,KYM-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.010564,0.892556,
,CML-T1,LCML,blood,chronic_myeloid_leukaemia,0.010813,0.923545,
,BICR22,HNSC,aero_digestive_tract,head_and_neck,0.010829,0.886601,
,LU-65,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.010938,0.838092,
,D-283MED,MB,nervous_system,medulloblastoma,0.011041,0.90373,
,KU812,LCML,blood,chronic_myeloid_leukaemia,0.011224,0.896305,
,MN-60,UNCLASSIFIED,blood,B_cell_leukemia,0.011251,0.875076,
,JURL-MK1,LCML,blood,chronic_myeloid_leukaemia,0.011371,0.919651,
,NCI-H2122,LUAD,lung,lung_NSCLC_adenocarcinoma,0.011437,0.899542,
,K5,THCA,thyroid,thyroid,0.011521,0.868145,
,SCC-3,DLBC,blood,B_cell_lymphoma,0.011682,0.931636,
,OCI-AML2,LAML,blood,acute_myeloid_leukaemia,0.012147,0.939056,
Belinostat,JVM-3,CLL,blood,lymphoid_neoplasm_other,0.01224,0.903809, C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)/C=C/C(=O)NO
,KU812,LCML,blood,chronic_myeloid_leukaemia,0.015511,0.027365,
,SU-DHL-16,DLBC,blood,B_cell_lymphoma,0.029505,0.010242,
,SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.030923,0.043889,
,SU-DHL-10,DLBC,blood,B_cell_lymphoma,0.031633,0.006706,
,CA46,UNCLASSIFIED,blood,Burkitt_lymphoma,0.035227,0.075623,
,WIL2-NS,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.035456,0.034276,
,NCI-H2731,MESO,lung,mesothelioma,0.037698,0.091716,
,SU-DHL-5,DLBC,blood,B_cell_lymphoma,0.047199,0.03613,
,JHH-1,LIHC,digestive_system,liver,0.048683,0.094736,
,MOLT-13,ALL,blood,lymphoblastic_T_cell_leukaemia,0.048741,0.074162,
,PA-1,UNCLASSIFIED,urogenital_system,ovary,0.050435,0.04576,
,SU-DHL-8,DLBC,blood,B_cell_lymphoma,0.05104,0.074403,
,MY-M12,ALL,blood,leukemia,0.058501,0.108568,
,DB,DLBC,blood,B_cell_lymphoma,0.060443,0.13832,
,ALL-PO,ALL,blood,lymphoblastic_leukemia,0.062654,0.114651,
,JM1,DLBC,blood,B_cell_lymphoma,0.064659,0.076145,
,NAMALWA,UNCLASSIFIED,blood,Burkitt_lymphoma,0.065545,0.076205,
,ES5,UNCLASSIFIED,bone,ewings_sarcoma,0.069569,0.140005,
,COR-L303,SCLC,lung,lung_small_cell_carcinoma,0.069959,0.092591,
,KARPAS-45,ALL,blood,lymphoblastic_leukemia,0.072785,0.088854,
,SU-DHL-6,DLBC,blood,B_cell_lymphoma,0.074717,0.059709,
,NCI-H2227,SCLC,lung,lung_small_cell_carcinoma,0.075837,0.137745,
,YT,ALL,blood,lymphoid_neoplasm_other,0.075961,0.100658,
,MDA-MB-453,BRCA,breast,breast,0.078921,0.130198,
,697,UNCLASSIFIED,blood,lymphoblastic_leukemia,0.085113,0.099142,
,LOUCY,ALL,blood,lymphoblastic_T_cell_leukaemia,0.085134,0.09141,
,SLVL,DLBC,blood,B_cell_lymphoma,0.085749,0.13828,
,MOLP-8,MM,blood,myeloma,0.086864,0.11827,
,Daudi,UNCLASSIFIED,blood,Burkitt_lymphoma,0.091482,0.12184,
,LU-135,SCLC,lung,lung_small_cell_carcinoma,0.091884,0.132567,
,CHP-212,NB,nervous_system,neuroblastoma,0.092043,0.137512,
,NU-DUL-1,DLBC,blood,B_cell_lymphoma,0.098355,0.108264,
,P30-OHK,ALL,blood,lymphoblastic_leukemia,0.098446,0.111989,
,NCI-H211,SCLC,lung,lung_small_cell_carcinoma,0.098577,0.145146,
,NEC8,UNCLASSIFIED,urogenital_system,testis,0.100328,0.118998,
,OCI-M1,LAML,blood,acute_myeloid_leukaemia,0.100496,0.095403,
,NCI-H847,SCLC,lung,lung_small_cell_carcinoma,0.100858,0.114117,
,IST-SL1,SCLC,lung,lung_small_cell_carcinoma,0.102301,0.156198,
,EW-18,UNCLASSIFIED,bone,ewings_sarcoma,0.102579,0.162497,
,NB12,NB,nervous_system,neuroblastoma,0.102864,0.171506,
,RPMI-8402,ALL,blood,lymphoblastic_T_cell_leukaemia,0.106279,0.120577,
,COR-L321,UNCLASSIFIED,lung,lung_other,0.109841,0.149385,
,RF-48,STAD,digestive_system,stomach,0.111595,0.184689,
,VAL,DLBC,blood,B_cell_lymphoma,0.11192,0.174183,
,Daoy,MB,nervous_system,medulloblastoma,0.114038,0.143375,
,ES7,UNCLASSIFIED,bone,ewings_sarcoma,0.114348,0.169224,
,KOPN-8,UNCLASSIFIED,blood,B_cell_leukemia,0.115543,0.134066,
,QIMR-WIL,LAML,blood,acute_myeloid_leukaemia,0.117082,0.164535,
,HEL,LAML,blood,acute_myeloid_leukaemia,0.117304,0.131871,
Shikonin,CCRF-CEM,ALL,blood,lymphoblastic_leukemia,0.118817,0.156137,CC(=CC[C@H](C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)O)C
,A101D,SKCM,skin,melanoma,0.019888,0.081649,
,A253,UNCLASSIFIED,aero_digestive_tract,head_and_neck,0.024174,0.063549,
,SW1710,BLCA,urogenital_system,bladder,0.027998,0.070051,
,NB14,NB,nervous_system,neuroblastoma,0.031547,0.059808,
,SK-UT-1,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.047858,0.094487,
,GA-10,UNCLASSIFIED,blood,Burkitt_lymphoma,0.057452,0.112819,
,ST486,UNCLASSIFIED,blood,Burkitt_lymphoma,0.061342,0.110847,
,SW982,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.07456,0.142698,
,CAL-51,BRCA,breast,breast,0.07803,0.135358,
,NCI-H2009,LUAD,lung,lung_NSCLC_adenocarcinoma,0.078663,0.15883,
,IGROV-1,OV,urogenital_system,ovary,0.081245,0.178941,
,MRK-nu-1,BRCA,breast,breast,0.084741,0.166165,
,KU812,LCML,blood,chronic_myeloid_leukaemia,0.086387,0.147792,
,SU-DHL-10,DLBC,blood,B_cell_lymphoma,0.091528,0.091441,
,MZ7-mel,SKCM,skin,melanoma,0.093049,0.170924,
,MOLP-8,MM,blood,myeloma,0.095807,0.151483,
,IHH-4,THCA,thyroid,thyroid,0.099751,0.137434,
,MZ1-PC,PAAD,pancreas,pancreas,0.100603,0.19255,
,KASUMI-1,LAML,blood,acute_myeloid_leukaemia,0.114785,0.193031,
,NALM-6,UNCLASSIFIED,blood,B_cell_leukemia,0.11628,0.158954,
,CAL-85-1,BRCA,breast,breast,0.12429,0.232689,
,A427,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.125987,0.20296,
,SK-LMS-1,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.126889,0.192654,
,NKM-1,LAML,blood,acute_myeloid_leukaemia,0.12739,0.21679,
,KS-1,GBM,nervous_system,glioma,0.128415,0.233955,
,A204,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.129257,0.238425,
,REH,UNCLASSIFIED,blood,B_cell_leukemia,0.130025,0.192579,
,NCI-H1963,SCLC,lung,lung_small_cell_carcinoma,0.131461,0.184186,
,SNU-398,LIHC,digestive_system,liver,0.133664,0.201729,
,GCIY,STAD,digestive_system,stomach,0.136955,0.221292,
,SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.139854,0.194434,
,8-MG-BA,GBM,nervous_system,glioma,0.140036,0.199022,
,A431,UNCLASSIFIED,skin,skin_other,0.142042,0.200081,
,Farage,DLBC,blood,B_cell_lymphoma,0.147549,0.190133,
,SK-PN-DW,UNCLASSIFIED,bone,ewings_sarcoma,0.148074,0.221721,
,SU-DHL-5,DLBC,blood,B_cell_lymphoma,0.149755,0.178103,
,Daoy,MB,nervous_system,medulloblastoma,0.150177,0.203874,
,JM1,DLBC,blood,B_cell_lymphoma,0.152479,0.195309,
,DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.153403,0.193239,
,NB17,NB,nervous_system,neuroblastoma,0.153568,0.24424,
,RPMI-7951,SKCM,skin,melanoma,0.155699,0.21723,
,Hs-633T,UNCLASSIFIED,soft_tissue,fibrosarcoma,0.15576,0.200348,
,SW620,COREAD,digestive_system,large_intestine,0.156833,0.225363,
,NCI-H2342,LUAD,lung,lung_NSCLC_adenocarcinoma,0.159225,0.236956,
,BB30-HNC,HNSC,aero_digestive_tract,head_and_neck,0.159466,0.226692,
,TOV-112D,OV,urogenital_system,ovary,0.161777,0.235142,
,HLE,LIHC,digestive_system,liver,0.169357,0.239966,
,CHL-1,SKCM,skin,melanoma,0.178801,0.235189,
,SCC-9,HNSC,aero_digestive_tract,head_and_neck,0.181352,0.275499,
Doxorubicin,COLO-679,SKCM,skin,melanoma,0.183622,0.259793,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
,EW-16,UNCLASSIFIED,bone,ewings_sarcoma,0.004538,0.139505,
,SU-DHL-5,DLBC,blood,B_cell_lymphoma,0.004774,0.089084,
,NTERA-2-cl-D1,UNCLASSIFIED,urogenital_system,testis,0.004866,0.134173,
,MFH-ino,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.005199,0.173418,
,REH,UNCLASSIFIED,blood,B_cell_leukemia,0.005758,0.150033,
,HuTu-80,UNCLASSIFIED,digestive_system,digestive_system_other,0.005843,0.126932,
,KGN,UNCLASSIFIED,urogenital_system,ovary,0.006363,0.190233,
,OCI-LY-19,DLBC,blood,B_cell_lymphoma,0.006585,0.15683,
,SW982,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.007066,0.184066,
,KS-1,GBM,nervous_system,glioma,0.007229,0.220183,
,ES4,UNCLASSIFIED,bone,ewings_sarcoma,0.00731,0.203959,
,SUP-B15,ALL,blood,lymphoblastic_leukemia,0.007371,0.184737,
,NCI-H2110,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.00794,0.199865,
,KYSE-270,ESCA,aero_digestive_tract,oesophagus,0.007964,0.17904,
,HT-144,SKCM,skin,melanoma,0.007977,0.217694,
,TE-8,ESCA,aero_digestive_tract,oesophagus,0.008755,0.223097,
,LC-2-ad,LUAD,lung,lung_NSCLC_adenocarcinoma,0.008934,0.211988,
,NCI-H460,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.009409,0.206635,
,HGC-27,STAD,digestive_system,stomach,0.009471,0.190145,
,IHH-4,THCA,thyroid,thyroid,0.009626,0.190668,
,DU-4475,BRCA,breast,breast,0.009793,0.201963,
,MCF7,BRCA,breast,breast,0.010033,0.226879,
,NCI-H2228,LUAD,lung,lung_NSCLC_adenocarcinoma,0.010614,0.27186,
,OCUB-M,BRCA,breast,breast,0.010901,0.216818,
,LCLC-97TM1,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.011064,0.243538,
,ESS-1,UNCLASSIFIED,urogenital_system,endometrium,0.011113,0.222197,
,IGROV-1,OV,urogenital_system,ovary,0.011232,0.262895,
,786-0,KIRC,kidney,kidney,0.011325,0.228527,
,MV-4-11,UNCLASSIFIED,blood,leukemia,0.011507,0.227314,
,EW-13,UNCLASSIFIED,bone,ewings_sarcoma,0.011615,0.260261,
,Daoy,MB,nervous_system,medulloblastoma,0.011708,0.23075,
,PA-1,UNCLASSIFIED,urogenital_system,ovary,0.011798,0.213573,
,JHU-011,HNSC,aero_digestive_tract,head_and_neck,0.012468,0.247664,
,A204,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.012892,0.288973,
,WM793B,SKCM,skin,melanoma,0.013027,0.264172,
,TOV-112D,OV,urogenital_system,ovary,0.013471,0.269241,
,JHU-029,HNSC,aero_digestive_tract,head_and_neck,0.013497,0.284166,
,MEL-JUSO,SKCM,skin,melanoma,0.013534,0.268887,
,RH-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.013645,0.242248,
,A2780,UNCLASSIFIED,urogenital_system,ovary,0.014317,0.27173,
,ES1,UNCLASSIFIED,bone,ewings_sarcoma,0.014414,0.282086,
,HT-1080,UNCLASSIFIED,soft_tissue,fibrosarcoma,0.014518,0.264822,
,PSN1,PAAD,pancreas,pancreas,0.014618,0.256281,
,PCI-6A,HNSC,aero_digestive_tract,head_and_neck,0.014953,0.273752,
,BFTC-905,BLCA,urogenital_system,bladder,0.015092,0.269078,
,A427,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.015186,0.284037,
,SBC-3,SCLC,lung,lung_small_cell_carcinoma,0.015395,0.26978,
,ST486,UNCLASSIFIED,blood,Burkitt_lymphoma,0.01568,0.277191,
,MKN1,UNCLASSIFIED,digestive_system,stomach,0.015988,0.292457,
Thapsigargin,AGS,STAD,digestive_system,stomach,0.016215,0.282946,CCCCCCCC(=O)O[C@H]1[C@H]2C(=C([C@@H]1OC(=O)/C(=C\C)/C)C)[C@H]3[C@]([C@H](C[C@]2(C)OC(=O)C)OC(=O)CCC)([C@](C(=O)O3)(C)O)O
,SK-MES-1,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.000375,0.039282,
,SNU-398,LIHC,digestive_system,liver,0.000496,0.037252,
,MCF7,BRCA,breast,breast,0.00056,0.046501,
,LXF-289,LUAD,lung,lung_NSCLC_adenocarcinoma,0.00058,0.046599,
,NCI-H2342,LUAD,lung,lung_NSCLC_adenocarcinoma,0.000584,0.056365,
,HPAC,PAAD,pancreas,pancreas,0.000592,0.086053,
,8505C,THCA,thyroid,thyroid,0.000647,0.054644,
,HCC-44,LUAD,lung,lung_NSCLC_adenocarcinoma,0.000689,0.044882,
,HOP-62,LUAD,lung,lung_NSCLC_adenocarcinoma,0.000733,0.0591,
,NUGC-4,STAD,digestive_system,stomach,0.000748,0.058031,
,T-T,ESCA,aero_digestive_tract,oesophagus,0.000763,0.055538,
,HCC1937,BRCA,breast,breast,0.00077,0.077355,
,NTERA-2-cl-D1,UNCLASSIFIED,urogenital_system,testis,0.000841,0.055398,
,HGC-27,STAD,digestive_system,stomach,0.000864,0.035849,
,SW1710,BLCA,urogenital_system,bladder,0.000882,0.069176,
,A4-Fuk,DLBC,blood,B_cell_lymphoma,0.000889,0.06653,
,786-0,KIRC,kidney,kidney,0.000919,0.054033,
,A172,GBM,nervous_system,glioma,0.000983,0.070224,
,TT2609-C02,THCA,thyroid,thyroid,0.000986,0.079291,
,ES1,UNCLASSIFIED,bone,ewings_sarcoma,0.001006,0.085986,
,ASH-3,THCA,thyroid,thyroid,0.001016,0.067275,
,NCI-H2369,MESO,lung,mesothelioma,0.001119,0.077975,
,TOV-112D,OV,urogenital_system,ovary,0.001135,0.088498,
,IGROV-1,OV,urogenital_system,ovary,0.001142,0.110727,
,CAPAN-2,PAAD,pancreas,pancreas,0.001167,0.11962,
,DMS-273,SCLC,lung,lung_small_cell_carcinoma,0.001329,0.103247,
,NY,UNCLASSIFIED,bone,osteosarcoma,0.001331,0.110647,
,ES4,UNCLASSIFIED,bone,ewings_sarcoma,0.001331,0.110875,
,CAL-12T,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.001424,0.110547,
,NALM-6,UNCLASSIFIED,blood,B_cell_leukemia,0.00149,0.067678,
,697,UNCLASSIFIED,blood,lymphoblastic_leukemia,0.001504,0.067995,
,KYSE-410,ESCA,aero_digestive_tract,oesophagus,0.001557,0.115533,
,EW-16,UNCLASSIFIED,bone,ewings_sarcoma,0.001569,0.107474,
,WM793B,SKCM,skin,melanoma,0.001693,0.117276,
,639-V,BLCA,urogenital_system,bladder,0.001695,0.087216,
,A2058,SKCM,skin,melanoma,0.001728,0.103523,
,NOS-1,UNCLASSIFIED,bone,osteosarcoma,0.001731,0.146157,
,TGBC24TKB,UNCLASSIFIED,digestive_system,biliary_tract,0.001738,0.112985,
,NB7,NB,nervous_system,neuroblastoma,0.00175,0.118636,
,HOS,UNCLASSIFIED,bone,osteosarcoma,0.001751,0.101112,
,KYSE-70,ESCA,aero_digestive_tract,oesophagus,0.001782,0.130377,
,KARPAS-620,MM,blood,haematopoietic_neoplasm_other,0.001793,0.08996,
,OVCAR-5,OV,urogenital_system,ovary,0.001794,0.143941,
,ALL-SIL,ALL,blood,T_cell_leukemia,0.001814,0.08705,
,SK-OV-3,OV,urogenital_system,ovary,0.001868,0.154416,
,ABC-1,LUAD,lung,lung_NSCLC_adenocarcinoma,0.001884,0.143379,
,IHH-4,THCA,thyroid,thyroid,0.001887,0.083379,
,KP-1N,PAAD,pancreas,pancreas,0.001893,0.125044,
,KGN,UNCLASSIFIED,urogenital_system,ovary,0.001894,0.140433,
Piperlongumine,KURAMOCHI,UNCLASSIFIED,urogenital_system,ovary,0.001895,0.14662,COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)N2CCC=CC2=O
,NB4,LAML,blood,acute_myeloid_leukaemia,1.117348,0.67896,
,OCI-LY7,DLBC,blood,B_cell_lymphoma,1.295175,0.698324,
,NU-DUL-1,DLBC,blood,B_cell_lymphoma,1.301068,0.695177,
,SUP-B8,UNCLASSIFIED,blood,B_cell_leukemia,1.305967,0.699806,
,CRO-AP2,DLBC,blood,B_cell_lymphoma,1.336127,0.699022,
,TE-441-T,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,1.401092,0.678494,
,Farage,DLBC,blood,B_cell_lymphoma,1.612153,0.724291,
,SIG-M5,LAML,blood,acute_myeloid_leukaemia,1.86809,0.753589,
,HCC-33,SCLC,lung,lung_small_cell_carcinoma,2.026505,0.73456,
,NK-92MI,UNCLASSIFIED,blood,lymphoid_neoplasm_other,2.1535,0.769838,
,LU-134-A,SCLC,lung,lung_small_cell_carcinoma,2.166395,0.737759,
,KASUMI-1,LAML,blood,acute_myeloid_leukaemia,2.179527,0.761764,
,JAR,UNCLASSIFIED,urogenital_system,urogenital_system_other,2.204856,0.75059,
,OCI-LY-19,DLBC,blood,B_cell_lymphoma,2.212928,0.760963,
,KMS-11,MM,blood,myeloma,2.217669,0.748199,
,SU-DHL-16,DLBC,blood,B_cell_lymphoma,2.362266,0.782362,
,COR-L303,SCLC,lung,lung_small_cell_carcinoma,2.376522,0.757717,
,SU-DHL-1,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,2.544426,0.763402,
,MHH-CALL-4,-,blood,B_cell_leukemia,2.622923,0.764291,
,SK-MEL-28,SKCM,skin,melanoma,2.814095,0.743738,
,JM1,DLBC,blood,B_cell_lymphoma,2.82096,0.806692,
,DOHH-2,DLBC,blood,B_cell_lymphoma,2.862923,0.8178,
,NCI-H1770,UNCLASSIFIED,lung,lung_NSCLC_not_specified,2.880891,0.783977,
,SW954,UNCLASSIFIED,urogenital_system,urogenital_system_other,2.883702,0.77257,
,VMRC-MELG,SKCM,skin,melanoma,2.894463,0.738054,
,PCI-15A,HNSC,aero_digestive_tract,head_and_neck,2.934787,0.779743,
,MZ2-MEL,SKCM,skin,melanoma,2.945345,0.762252,
,DJM-1,UNCLASSIFIED,skin,skin_other,2.981874,0.769805,
,G-MEL,SKCM,skin,melanoma,2.991892,0.793619,
,RCC-JF,KIRC,kidney,kidney,3.020453,0.764395,
,NB17,NB,nervous_system,neuroblastoma,3.041613,0.789601,
,NCI-H2171,SCLC,lung,lung_small_cell_carcinoma,3.064377,0.808784,
,SF126,GBM,nervous_system,glioma,3.097623,0.775155,
,BC-3,DLBC,blood,B_cell_lymphoma,3.13014,0.81727,
,OVK-18,OV,urogenital_system,ovary,3.1482,0.757306,
,HEL,LAML,blood,acute_myeloid_leukaemia,3.218897,0.816093,
,MC-IXC,NB,nervous_system,neuroblastoma,3.221878,0.794076,
,SKM-1,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,3.249478,0.807717,
,CP50-MEL-B,SKCM,skin,melanoma,3.326102,0.78319,
,IST-SL1,SCLC,lung,lung_small_cell_carcinoma,3.352771,0.812262,
,QIMR-WIL,LAML,blood,acute_myeloid_leukaemia,3.382615,0.81666,
,D-423MG,GBM,nervous_system,glioma,3.398468,0.783703,
,COLO-783,SKCM,skin,melanoma,3.400685,0.772789,
,NCI-H748,SCLC,lung,lung_small_cell_carcinoma,3.476283,0.784636,
,A431,UNCLASSIFIED,skin,skin_other,3.521427,0.772836,
,A375,SKCM,skin,melanoma,3.537134,0.779699,
,CHP-126,NB,nervous_system,neuroblastoma,3.544011,0.773933,
,KP-N-YS,NB,nervous_system,neuroblastoma,3.579861,0.80405,
,RL,DLBC,blood,B_cell_lymphoma,3.668281,0.802791,
Tanespimycin,RCH-ACV,UNCLASSIFIED,blood,B_cell_leukemia,3.695663,0.827403,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC  
,RPMI-7951,SKCM,skin,melanoma,0.023834,0.463068,
,HSC-39,STAD,digestive_system,stomach,0.026497,0.474838,
,NCI-H460,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.032444,0.503245,
,KS-1,GBM,nervous_system,glioma,0.033209,0.505739,
,MDA-MB-453,BRCA,breast,breast,0.03664,0.518229,
,H4,LGG,nervous_system,glioma,0.037735,0.523219,
,OE19,ESCA,aero_digestive_tract,oesophagus,0.037814,0.520673,
,D-336MG,LGG,nervous_system,glioma,0.038264,0.523371,
,A549,LUAD,lung,lung_NSCLC_adenocarcinoma,0.040071,0.527859,
,SW48,COREAD,digestive_system,large_intestine,0.042169,0.533482,
,MV-4-11,UNCLASSIFIED,blood,leukemia,0.043343,0.544897,
,MDA-MB-361,BRCA,breast,breast,0.044158,0.543167,
,MDA-MB-330,BRCA,breast,breast,0.045562,0.541467,
,KYSE-150,ESCA,aero_digestive_tract,oesophagus,0.045705,0.545267,
,DOK,HNSC,aero_digestive_tract,head_and_neck,0.045919,0.543884,
,MZ2-MEL,SKCM,skin,melanoma,0.047774,0.551546,
,IST-MEL1,SKCM,skin,melanoma,0.049373,0.550517,
,NCI-H1703,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,0.049766,0.556914,
,WM-115,SKCM,skin,melanoma,0.050166,0.551536,
,FADU,HNSC,aero_digestive_tract,head_and_neck,0.051149,0.561283,
,C32,SKCM,skin,melanoma,0.051519,0.55943,
,HCC-44,LUAD,lung,lung_NSCLC_adenocarcinoma,0.051539,0.560226,
,LU-134-A,SCLC,lung,lung_small_cell_carcinoma,0.051602,0.563148,
,NCI-H2170,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.052394,0.562665,
,NCI-H2110,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.053482,0.568268,
,BONNA-12,-,blood,hairy_cell_leukaemia,0.054097,0.571035,
,KP-4,PAAD,pancreas,pancreas,0.054364,0.571956,
,SW982,UNCLASSIFIED,soft_tissue,soft_tissue_other,0.055102,0.566965,
,SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.055672,0.580081,
,HuO9,UNCLASSIFIED,bone,osteosarcoma,0.056281,0.574985,
,WM278,SKCM,skin,melanoma,0.057546,0.564813,
,A2780,UNCLASSIFIED,urogenital_system,ovary,0.059256,0.575792,
,CAL-39,CESC,urogenital_system,cervix,0.060369,0.580611,
,OCI-AML2,LAML,blood,acute_myeloid_leukaemia,0.061756,0.594829,
,PCI-15A,HNSC,aero_digestive_tract,head_and_neck,0.066153,0.597848,
,SNU-16,STAD,digestive_system,stomach,0.067349,0.60389,
,NCI-H1915,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.067423,0.581907,
,NB4,LAML,blood,acute_myeloid_leukaemia,0.067492,0.608074,
,LOXIMVI,SKCM,skin,melanoma,0.069447,0.599247,
,GP5d,COREAD,digestive_system,large_intestine,0.070256,0.603388,
,KMS-11,MM,blood,myeloma,0.071697,0.608304,
,AGS,STAD,digestive_system,stomach,0.072329,0.604943,
,HCC1806,UNCLASSIFIED,breast,breast,0.072688,0.61076,
,WM793B,SKCM,skin,melanoma,0.072741,0.600518,
,HT-29,COREAD,digestive_system,large_intestine,0.073364,0.598153,
,BB30-HNC,HNSC,aero_digestive_tract,head_and_neck,0.074469,0.615793,
,DSH1,BLCA,urogenital_system,bladder,0.075285,0.602694,
,PC-14,LUAD,lung,lung_NSCLC_adenocarcinoma,0.075332,0.603951,
,HO-1-u-1,HNSC,aero_digestive_tract,head_and_neck,0.075536,0.60689,
dactinomycin,JHU-011,HNSC,aero_digestive_tract,head_and_neck,0.075605,0.610833,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C 
,SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.001308,0.69873,
,MOLM-13,LAML,blood,acute_myeloid_leukaemia,0.001862,0.746508,
,NEC8,UNCLASSIFIED,urogenital_system,testis,0.002992,0.805707,
,AMO-1,MM,blood,haematopoietic_neoplasm_other,0.003037,0.797928,
,DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.004235,0.842807,
,EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,0.004323,0.851605,
,IMR-5,NB,nervous_system,neuroblastoma,0.004655,0.849738,
,PA-1,UNCLASSIFIED,urogenital_system,ovary,0.004658,0.815082,
,DOHH-2,DLBC,blood,B_cell_lymphoma,0.004875,0.890675,
,SUP-B15,ALL,blood,lymphoblastic_leukemia,0.005065,0.863498,
,697,UNCLASSIFIED,blood,lymphoblastic_leukemia,0.005176,0.864381,
,HuTu-80,UNCLASSIFIED,digestive_system,digestive_system_other,0.00545,0.846369,
,JVM-2,CLL,blood,lymphoid_neoplasm_other,0.005909,0.825449,
,SU-DHL-5,DLBC,blood,B_cell_lymphoma,0.005986,0.90288,
,MOLT-16,ALL,blood,lymphoblastic_T_cell_leukaemia,0.006081,0.901068,
,A2780,UNCLASSIFIED,urogenital_system,ovary,0.006473,0.825609,
,AGS,STAD,digestive_system,stomach,0.006544,0.843177,
,NALM-6,UNCLASSIFIED,blood,B_cell_leukemia,0.006751,0.87108,
,RPMI-8866,LCML,blood,chronic_myeloid_leukaemia,0.007033,0.877854,
,WSU-NHL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.007034,0.871662,
,LOXIMVI,SKCM,skin,melanoma,0.007286,0.84996,
