Name,ICD-11,MeSH,KEGG,link,MyID,ICD-11_Category
Guillain-Barre syndrome, 8C01.0, D020275,H01436,https://www.genome.jp/entry/ds_ja:H01436,385,8
Fisher syndrome;Miller Fisher syndrome, 8C01.0, D019846,H01689,https://www.genome.jp/entry/ds_ja:H01689,184,8
Multiple sclerosis, 8A40, D009103,H01490,https://www.genome.jp/entry/ds_ja:H01490,386,8
Neuromyelitis optica;Devic disease, 8A43, D009471,H01491,https://www.genome.jp/entry/ds_ja:H01491,182,8
Vogt-Koyanagi-Harada syndrome;Vogt-Koyanagi-Harada disease;Uveomeningoencephalitic syndrome, ED63.3, D014607,H01504,https://www.genome.jp/entry/ds_ja:H01504,115,E
Hepatic encephalopathy;Hepatic coma, DB99.5, D006501,H01506,https://www.genome.jp/entry/ds_ja:H01506,387,D
Chronic inflammatory demyelinating polyradiculoneuropathy, 8C01.3, D020277,H01527,https://www.genome.jp/entry/ds_ja:H01527,183,8
Neuroleptic malignant syndrome, 8A07.Y, D009459,H01528,https://www.genome.jp/entry/ds_ja:H01528,388,8
Wernicke encephalopathy;Wernicke-Korsakoff syndrome, 5B5A.10, D014899,H01565,https://www.genome.jp/entry/ds_ja:H01565,389,5
Essential tremor, 8A04.1, D020329,H01577,https://www.genome.jp/entry/ds_ja:H01577,390,8
Cluster headache, 8A82, D003027,H01588,https://www.genome.jp/entry/ds_ja:H01588,391,8
Myasthenia gravis, 8C60, D009157,H01594,https://www.genome.jp/entry/ds_ja:H01594,118,8
Lambert-Eaton myasthenic syndrome, 8C62, D015624,H01596,https://www.genome.jp/entry/ds_ja:H01596,120,8
Restless legs syndrome;Willis Ekbom disease, 7A80, D012148,H01597,https://www.genome.jp/entry/ds_ja:H01597,392,7
Cervical dystonia;Spasmodic torticollis, 8A02.0Y, D014103,H01608,https://www.genome.jp/entry/ds_ja:H01608,393,8
Insomnia, 7A00 7A01, D007319,H01609,https://www.genome.jp/entry/ds_ja:H01609,394,7
Neuropathic pain;Neuralgia, 8E43.0, D009437,H01638,https://www.genome.jp/entry/ds_ja:H01638,395,8
Neoplastic meningitis, 8E40.0, D008581,H01668,https://www.genome.jp/entry/ds_ja:H01668,396,8
Aseptic meningitis, 1D01.Y, D008582,H01429,https://www.genome.jp/entry/ds_ja:H01429,397,1
HTLV1-associated myelopathy;Tropical spastic paraparesis, 8A45.00, D015493,H01724,https://www.genome.jp/entry/ds_ja:H01724,186,8
Normal pressure hydrocephalus, 8D64.04, D006850,H01676,https://www.genome.jp/entry/ds_ja:H01676,398,8
Subependymal giant cell astrocytoma, 2A00.0Y, D001254,H01692,https://www.genome.jp/entry/ds_ja:H01692,399,2
Congenital pain insensitivity with anhidrosis, 8C21.2, D009477,H01836,https://www.genome.jp/entry/ds_ja:H01836,359,8
Congenital suprabulbar paresis;Worster Drought syndrome, 8D23, C536747,H01837,https://www.genome.jp/entry/ds_ja:H01837,400,8
Superficial siderosis, 8E42, D006486,H01846,https://www.genome.jp/entry/ds_ja:H01846,401,8
Sydenham chorea;Chorea minor, 1B42, D002819,H01924,https://www.genome.jp/entry/ds_ja:H01924,188,1
Infection-induced acute encephalopathy, 1C80, D000069544,H02536,https://www.genome.jp/entry/ds_ja:H02536,402,1
Familial dysautonomia;Riley-Day syndrome;Hereditary sensory and autonomic neuropathy type 3, 8C21.1, D004402,H01987,https://www.genome.jp/entry/ds_ja:H01987,403,8
Autosomal dominant sensory ataxia, 8A03.1Y, C563818,H02101,https://www.genome.jp/entry/ds_ja:H02101,404,8
Laurence-Moon syndrome, LD90.Y, D007849,H02137,https://www.genome.jp/entry/ds_ja:H02137,405,L
Sudden infant death with dysgenesis of the testes syndrome, MH11, C563856,H02174,https://www.genome.jp/entry/ds_ja:H02174,406,M
Coats plus syndrome;Cerebroretinal microangiopathy with calcifications and cysts, 9B78.1, C567401,H02251,https://www.genome.jp/entry/ds_ja:H02251,407,9
Autosomal recessive peripheral neuropathy (PNRIID), 8C20.Y, C548028,H02345,https://www.genome.jp/entry/ds_ja:H02345,408,8
Congenital hypomyelinating neuropathy, 8C20.0, C535301,H02357,https://www.genome.jp/entry/ds_ja:H02357,409,8
"Cerebellar ataxia, neuropathy, and vestibular areflexia syndrome", LD20.Y, D013132,H02366,https://www.genome.jp/entry/ds_ja:H02366,234,L
"Chorea, childhood-onset, with psychomotor retardation", 8A01.Y, D002819,H02367,https://www.genome.jp/entry/ds_ja:H02367,188,8
Infantile-onset limb and orofacial dyskinesia, MB47.4, D020820,H02388,https://www.genome.jp/entry/ds_ja:H02388,410,M
Familial dyskinesia with facial myokymia, MB47.4, D020820,H02389,https://www.genome.jp/entry/ds_ja:H02389,410,M
Autosomal recessive neuromyotonia and axonal neuropathy, 8C71.4, D020386,H02390,https://www.genome.jp/entry/ds_ja:H02390,411,8
Horizontal gaze palsy with progressive scoliosis, 9C83.00, C564593,H02450,https://www.genome.jp/entry/ds_ja:H02450,412,9
Diabetic neuropathy, 8C03.0, D003929,H01459,https://www.genome.jp/entry/ds_ja:H01459,413,8
Diabetic cardiomyopathy, BC43.7, D058065,H02498,https://www.genome.jp/entry/ds_ja:H02498,414,B
Left ventricular noncompaction, BC44, D056830,H01216,https://www.genome.jp/entry/ds_ja:H01216,415,B
Jervell and Lange-Nielsen syndrome, BC65.0, D029593,H02091,https://www.genome.jp/entry/ds_ja:H02091,416,B
Double-outlet right ventricle, LA85.2, D004310,H00918,https://www.genome.jp/entry/ds_ja:H00918,417,L
Angina pectoris, BA40, D000787,H01632,https://www.genome.jp/entry/ds_ja:H01632,418,B
Premature ventricular complexes;Premature ventricular contractions, 7A42, D018879,H01729,https://www.genome.jp/entry/ds_ja:H01729,419,7
Myocardial infarction, BA41, D009203,H01730,https://www.genome.jp/entry/ds_ja:H01730,420,B
Persistent truncus arteriosus, LA85.4, D014339,H01736,https://www.genome.jp/entry/ds_ja:H01736,421,L
Mitral valve prolapse, BB62, D008945,H01868,https://www.genome.jp/entry/ds_ja:H01868,422,B
Ventricular septal defect, LA88.4, D006345,H01926,https://www.genome.jp/entry/ds_ja:H01926,423,L
Cardiac conduction disease with dilated cardiomyopathy, BC63.Y, D000075224,H02125,https://www.genome.jp/entry/ds_ja:H02125,424,B
Familial ventricular tachycardia, BC71.0Y, D017180,H02269,https://www.genome.jp/entry/ds_ja:H02269,425,B
Infantile hemangioma, 2E81.2Y, D006391,H01482,https://www.genome.jp/entry/ds_ja:H01482,426,2
Infantile hepatic hemangioma, 2E81.2Y, D006391,H01875,https://www.genome.jp/entry/ds_ja:H01875,426,2
Inherited erythromelalgia;Primary erythromelalgia, EG00, D004916,H00771,https://www.genome.jp/entry/ds_ja:H00771,427,E
Brain small vessel disease, 8B22.CY, C564372,H00877,https://www.genome.jp/entry/ds_ja:H00877,428,8
Lymphangioma, 2E81.1, D008202,H01471,https://www.genome.jp/entry/ds_ja:H01471,429,2
Lymphangiomatosis, 2E81.1, D010015,H01735,https://www.genome.jp/entry/ds_ja:H01735,430,2
Arterial tortuosity syndrome, LD28.Y, C565942,H00919,https://www.genome.jp/entry/ds_ja:H00919,431,L
Generalized arterial calcification of infancy, BD52.Y, C537440,H01002,https://www.genome.jp/entry/ds_ja:H01002,432,B
Polyarteritis nodosa;ADA2 deficiency, 4A44.4, D010488,H01382,https://www.genome.jp/entry/ds_ja:H01382,433,4
Calcification of joints and arteries, BD52.Y, C565891,H00824,https://www.genome.jp/entry/ds_ja:H00824,434,B
Moyamoya disease, 8B22.B, D009072,H01396,https://www.genome.jp/entry/ds_ja:H01396,435,8
Budd-Chiari syndrome, DB98.5, D006502,H01433,https://www.genome.jp/entry/ds_ja:H01433,436,D
Large-vessel vasculitis, 4A44.Y, D013700 D013625,H01465,https://www.genome.jp/entry/ds_ja:H01465,437,4
Giant cell arteritis;Temporal arteritis, 4A44.2, D013700,H01698,https://www.genome.jp/entry/ds_ja:H01698,185,4
Eosinophilic granulomatosis with polyangiitis;Churg-Strauss syndrome, 4A44.A2, D015267,H01468,https://www.genome.jp/entry/ds_ja:H01468,438,4
Buerger disease;Thromboangiitis obliterans, 4A44.8, D013919,H01625,https://www.genome.jp/entry/ds_ja:H01625,439,4
Arteriosclerosis obliterans, BD40, D001162,H01626,https://www.genome.jp/entry/ds_ja:H01626,440,B
Atherosclerosis, BD40, D050197,H02505,https://www.genome.jp/entry/ds_ja:H02505,441,B
Chronic arterial occlusive disease, BD40 BD41 BD42, D001157,H01629,https://www.genome.jp/entry/ds_ja:H01629,442,B
Raynaud syndrome, BD42, D011928,H01620,https://www.genome.jp/entry/ds_ja:H01620,443,B
Microscopic polyangiitis, 4A44.A0, D055953,H01658,https://www.genome.jp/entry/ds_ja:H01658,444,4
Deep vein thrombosis, BD71, D020246,H01723,https://www.genome.jp/entry/ds_ja:H01723,445,B
Kawasaki disease;Mucocutaneous lymph node syndrome, 4A44.5, D009080,H01718,https://www.genome.jp/entry/ds_ja:H01718,446,4
Coronary artery disease, BA80, D003324,H01742,https://www.genome.jp/entry/ds_ja:H01742,447,B
Sturge-Weber syndrome, LD23, D013341,H01809,https://www.genome.jp/entry/ds_ja:H01809,448,L
Pulmonary veno-occlusive disease and pulmonary capillary hemangiomatosis, BB01.0, D011668 C535861,H01866,https://www.genome.jp/entry/ds_ja:H01866,449,B
Macrothrombocytopenia, 3B64.01, D013921,H01740,https://www.genome.jp/entry/ds_ja:H01740,450,3
MYH9-related disease;Macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss (MATINS), 3B64.01, C535507,H00233,https://www.genome.jp/entry/ds_ja:H00233,451,3
Diamond-Blackfan anemia, 3A60.1, D029503,H00237,https://www.genome.jp/entry/ds_ja:H00237,452,3
Epstein syndrome, 3B64.01, C535507,H00578,https://www.genome.jp/entry/ds_ja:H00578,451,3
Anemia due to disorders of glutathione metabolism, 3A10.0, D005955 C564217 C565557 C536835,H00668,https://www.genome.jp/entry/ds_ja:H00668,453,3
Factor VII deficiency;Hypoproconvertinemia, 3B14.2, D005168,H02256,https://www.genome.jp/entry/ds_ja:H02256,454,3
Factor X deficiency, 3B14.1, D005171,H02257,https://www.genome.jp/entry/ds_ja:H02257,455,3
Stormorken syndrome, 3B62.Y, C566108,H02259,https://www.genome.jp/entry/ds_ja:H02259,456,3
"Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis", 5C53.2Y, C567195,H00920,https://www.genome.jp/entry/ds_ja:H00920,457,5
Orthostatic intolerance;Postural tachycardia syndrome, 8D89.2, D054971,H01031,https://www.genome.jp/entry/ds_ja:H01031,458,8
Plasminogen deficiency, 3B50.Y, C566897,H01206,https://www.genome.jp/entry/ds_ja:H01206,459,3
Antithrombin III deficiency;Inherited Antithrombin deficiency, 3B61.0Y, D020152,H01381,https://www.genome.jp/entry/ds_ja:H01381,460,3
Atypical hemolytic uremic syndrome, 3A10.Y, D065766,H01434,https://www.genome.jp/entry/ds_ja:H01434,461,3
Myelodysplastic syndrome, 2A36 2A37 2A3Z, D009190,H01481,https://www.genome.jp/entry/ds_ja:H01481,462,2
5q- syndrome, 2A36, C535323,H01484,https://www.genome.jp/entry/ds_ja:H01484,463,2
Vitamin C deficiency;Scurvy, 5B56, D012614,H01580,https://www.genome.jp/entry/ds_ja:H01580,464,5
IgA vasculitis;Henoch-Schonlein purpura, 4A44.92, D011695,H01584,https://www.genome.jp/entry/ds_ja:H01584,465,4
Autoimmune hemolytic anemia, 3A20, D000744,H01585,https://www.genome.jp/entry/ds_ja:H01585,466,3
Acquired pure red cell aplasia, 3A61, D012010,H01586,https://www.genome.jp/entry/ds_ja:H01586,467,3
Disseminated intravascular coagulation, 3B20, D004211,H01587,https://www.genome.jp/entry/ds_ja:H01587,468,3
Antiphospholipid syndrome, 4A45, D016736,H01697,https://www.genome.jp/entry/ds_ja:H01697,469,4
Hypermanganesemia with dystonia, 5C64.Y, C548016,H01938,https://www.genome.jp/entry/ds_ja:H01938,470,5
von Willebrand disease, 3B12, D014842,H02092,https://www.genome.jp/entry/ds_ja:H02092,471,3
Platelet-type von Willebrand disease;Pseudo-von Willebrand disease, 3B62.Y, C536458,H02093,https://www.genome.jp/entry/ds_ja:H02093,472,3
Gray platelet syndrome;Bleeding disorder platelet-type 4, 3B62.00, D055652,H02097,https://www.genome.jp/entry/ds_ja:H02097,473,3
Bone marrow failure syndrome, 3A70.0, D000080984,H02529,https://www.genome.jp/entry/ds_ja:H02529,474,3
Glucocorticoid-remediable aldosteronism (GRA);Familial hyperaldosteronism type I, 5A72.0, C563177,H00602,https://www.genome.jp/entry/ds_ja:H00602,475,5
Primary pulmonary hypertension, BB01, D065627,H01619,https://www.genome.jp/entry/ds_ja:H01619,476,B
Pulmonary arterial hypertension, BB01.0, D065627,H01621,https://www.genome.jp/entry/ds_ja:H01621,476,B
Acute heart failure, BD1Y, D006333,H01631,https://www.genome.jp/entry/ds_ja:H01631,477,B
High blood pressure;Hypertension, BA00, D006973,H01633,https://www.genome.jp/entry/ds_ja:H01633,478,B
"Cutis laxa with severe pulmonary, gastrointestinal, and urinary abnormalities;Urban-Rifkin-Davis syndrome", LD28.2, C567716,H00904,https://www.genome.jp/entry/ds_ja:H00904,479,L
Alveolar capillary dysplasia with misalignment of pulmonary veins, CB04.0, D010547,H00830,https://www.genome.jp/entry/ds_ja:H00830,480,C
Congenital pulmonary alveolar proteinosis;Pulmonary surfactant metabolism dysfunction, CB04.31, D011649,H01122,https://www.genome.jp/entry/ds_ja:H01122,481,C
Chronic obstructive pulmonary disease (COPD);Emphysema, CA22, D029424,H01714,https://www.genome.jp/entry/ds_ja:H01714,482,C
Idiopathic interstitial pneumonias, CB03, D054988,H01716,https://www.genome.jp/entry/ds_ja:H01716,483,C
Primary alveolar hypoventilation syndrome, 7A42, D020182,H01727,https://www.genome.jp/entry/ds_ja:H01727,484,7
Bronchiectasis with or without elevated sweat chloride, CA24, D001987,H00892,https://www.genome.jp/entry/ds_ja:H00892,485,C
Diffuse panbronchiolitis, CA26.1, C536174,H01713,https://www.genome.jp/entry/ds_ja:H01713,486,C
Obesity hypoventilation syndrome;Pickwickian Syndrome, 7A42.0, D010845,H01715,https://www.genome.jp/entry/ds_ja:H01715,487,7
Obliterative bronchiolitis;Bronchiolitis obliterans, CA26.0 CA22.1, D001989,H01873,https://www.genome.jp/entry/ds_ja:H01873,488,C
Primary ciliary dyskinesia, LA75.Y, D007619,H00564,https://www.genome.jp/entry/ds_ja:H00564,489,L
Type 2 diabetes mellitus, 5A11, D003924,H00409,https://www.genome.jp/entry/ds_ja:H00409,490,5
Type 1 diabetes mellitus, 5A10, D003922,H00408,https://www.genome.jp/entry/ds_ja:H00408,491,5
Maturity onset diabetes of the young (MODY), 5A13.0, C565101 C564219 C563933 C563451 C535520 C565231 C566466 C565225 C567393,H00410,https://www.genome.jp/entry/ds_ja:H00410,492,5
Permanent neonatal diabetes mellitus, KB60.2Y, C563424 C563425 C563796,H00512,https://www.genome.jp/entry/ds_ja:H00512,493,K
Transient neonatal diabetes mellitus, KB60.20, C563322 C563672 C566432,H00513,https://www.genome.jp/entry/ds_ja:H00513,494,K
Wolcott-Rallison syndrome, 5A13.6, C536739,H00766,https://www.genome.jp/entry/ds_ja:H00766,495,5
Wolfram syndrome;DIDMOAD syndrome, 5A61.5, D014929,H00854,https://www.genome.jp/entry/ds_ja:H00854,496,5
Rabson-Mendenhall syndrome, 5A44, D056731,H00942,https://www.genome.jp/entry/ds_ja:H00942,497,5
Insulin-resistant diabetes mellitus with acanthosis nigricans;Type A insulin resistance, 5A13.1, C562710,H01228,https://www.genome.jp/entry/ds_ja:H01228,498,5
Mitchell-Riley syndrome, KB60.2Y, C567570,H01377,https://www.genome.jp/entry/ds_ja:H01377,499,K
Neurohypophyseal diabetes insipidus (NPDI);Central Diabetes Insipidus, 5A61.5, D020790,H00253,https://www.genome.jp/entry/ds_ja:H00253,500,5
Growth hormone deficiency;Pituitary dwarfism, 5A61.0 5A61.3, D004393,H00254,https://www.genome.jp/entry/ds_ja:H00254,501,5
Isolated growth hormone deficiency, 5A61.0, D004393,H02035,https://www.genome.jp/entry/ds_ja:H02035,501,5
Combined pituitary hormone deficiency, 5A61.0, D004393,H02036,https://www.genome.jp/entry/ds_ja:H02036,501,5
Laron syndrome;Growth hormone insensitivity syndrome;Pituitary dwarfism II, 5A61.0, D046150,H02037,https://www.genome.jp/entry/ds_ja:H02037,502,5
X-linked panhypopituitarism, 5A61.0, D007018,H02038,https://www.genome.jp/entry/ds_ja:H02038,503,5
Insulin-like growth factor I deficiency, 5A61.0, C563867,H02040,https://www.genome.jp/entry/ds_ja:H02040,504,5
Pituitary adenomas, 2F37.0, D010911,H01102,https://www.genome.jp/entry/ds_ja:H01102,505,2
Pituitary gigantism, 5A60.0, D005877,H01618,https://www.genome.jp/entry/ds_ja:H01618,506,5
Acromegaly, 5A60.0, D000172,H01483,https://www.genome.jp/entry/ds_ja:H01483,507,5
Hypogonadotropic hypogonadism, 5A61.2, D007006 D017436 C537919,H00255,https://www.genome.jp/entry/ds_ja:H00255,508,5
Precocious puberty, 5A92 5A60.3, D011629 C562787 C536961,H00937,https://www.genome.jp/entry/ds_ja:H00937,509,5
Central precocious puberty, 5A60.3, C562787,H02018,https://www.genome.jp/entry/ds_ja:H02018,510,5
Adrenocorticotropic hormone deficiency;Isolated ACDH deficiency, 5A61.1, C535668,H01011,https://www.genome.jp/entry/ds_ja:H01011,511,5
Isolated follicle-stimulating hormone deficiency, 5A61.0, C537070,H01253,https://www.genome.jp/entry/ds_ja:H01253,512,5
Growth delay due to insulin-like growth factor I resistance;IGF-I resistance, 5A61.0, C564816,H01274,https://www.genome.jp/entry/ds_ja:H01274,513,5
Nephrogenic syndrome of inappropriate antidiuresis, 5A60.20, C564491,H01294,https://www.genome.jp/entry/ds_ja:H01294,514,5
Hyperprolactinemia, 5A60.1, D006966,H01388,https://www.genome.jp/entry/ds_ja:H01388,515,5
Syndrome of inappropriate secretion of antidiuretic hormone, 5A60.2, D007177,H01682,https://www.genome.jp/entry/ds_ja:H01682,516,5
Disorders of antidiuretic hormone (ADH) secretion, 5A60 5A61, D003919 D007177,H01683,https://www.genome.jp/entry/ds_ja:H01683,517,5
Isolated TSH deficiency, 5A61.4, C536917,H01699,https://www.genome.jp/entry/ds_ja:H01699,518,5
Pituitary TSH hypersecretion;Syndrome of inappropriate secretion of TSH (SITSH), 5A60.Y, D006964,H01701,https://www.genome.jp/entry/ds_ja:H01701,519,5
Hypopituitarism, 5A61.0, D007018,H01700,https://www.genome.jp/entry/ds_ja:H01700,503,5
Abnormal pituitary gonadotropin secretion, 5A61.2, D006964 D007018,H01860,https://www.genome.jp/entry/ds_ja:H01860,520,5
Excessive secretion of growth hormone, 5A60.0, D000172 D005877,H01864,https://www.genome.jp/entry/ds_ja:H01864,521,5
Congenital nongoitrous hypothyroidism (CHNG), 5A00.01, D003409,H00250,https://www.genome.jp/entry/ds_ja:H00250,522,5
Thyroid dyshormonogenesis;Dyshormogenetic goiter, 5A00.00, C564766 C563206 C536648 C562769 C562770 C562771 C564608,H00251,https://www.genome.jp/entry/ds_ja:H00251,523,5
Thyroid hormone resistance syndrome, 5A00.01, D018382 C564154,H00249,https://www.genome.jp/entry/ds_ja:H00249,524,5
Allan-Herndon-Dudley syndrome;Monocarboxylate transporter 8 deficiency, 5A00.0Y, C537047,H00650,https://www.genome.jp/entry/ds_ja:H00650,525,5
"Brain-lung-thyroid syndrome;Choreoathetosis, hypothyroidism, and neonatal respiratory distress", CB04.5, C567034,H00913,https://www.genome.jp/entry/ds_ja:H00913,526,C
Bamforth-Lazarus syndrome, 5A00.0Y, C537901,H01040,https://www.genome.jp/entry/ds_ja:H01040,527,5
Abnormal thyroid hormone metabolism, 5A00.0, C566454,H01186,https://www.genome.jp/entry/ds_ja:H01186,528,5
Congenital hyperthyroidism, 5A02, C563786 C566384,H01269,https://www.genome.jp/entry/ds_ja:H01269,529,5
Hyperthyroidism;Thyrotoxicosis, 5A02, D006980 D013971,H01645,https://www.genome.jp/entry/ds_ja:H01645,530,5
Subacute thyroiditis;Subacute granulomatous thyroiditis;De Quervain thyroiditis, 5A03.1, D013968,H01647,https://www.genome.jp/entry/ds_ja:H01647,531,5
Central hypothyroidism and testicular enlargement, 5A61.41, D003409,H02034,https://www.genome.jp/entry/ds_ja:H02034,522,5
Pseudohypoparathyroidism, 5A50.1, D011547,H00244,https://www.genome.jp/entry/ds_ja:H00244,532,5
Primary hyperparathyroidism;Familial hyperparathyroidism, 5A51.0, D049950,H00246,https://www.genome.jp/entry/ds_ja:H00246,533,5
Secondary hyperparathyroidism, 5A51.1, D006962,H01669,https://www.genome.jp/entry/ds_ja:H01669,534,5
Neonatal hyperparathyroidism, 5A51.Y, C563375,H02030,https://www.genome.jp/entry/ds_ja:H02030,535,5
Hypoparathyroidism, 5A50, D007011,H01862,https://www.genome.jp/entry/ds_ja:H01862,536,5
Congenital adrenal hyperplasia, 5A71.01, D000312,H00216,https://www.genome.jp/entry/ds_ja:H00216,537,5
Glucocorticoid-remediable aldosteronism (GRA);Familial hyperaldosteronism type I, 5A72.0, C563177,H00602,https://www.genome.jp/entry/ds_ja:H00602,475,5
Primary aldosteronism, 5A72.0, D006929,H01603,https://www.genome.jp/entry/ds_ja:H01603,538,5
Pigmented micronodular adrenocortical disease, 5A70.Y, C566469 C566472,H00260,https://www.genome.jp/entry/ds_ja:H00260,539,5
Addison disease;Primary adrenal insufficiency;Hypoadrenocorticism, 5A74.0, D000224,H01598,https://www.genome.jp/entry/ds_ja:H01598,540,5
"Adrenal hypoplasia, congenital;X-linked addison disease", LC80, D000075262,H01772,https://www.genome.jp/entry/ds_ja:H01772,541,L
Cortisone reductase deficiency, 5A71.Y, C536447,H01111,https://www.genome.jp/entry/ds_ja:H01111,542,5
Corticosteroid-binding globulin (CBG) deficiency, 5A76.Y, C565152,H01163,https://www.genome.jp/entry/ds_ja:H01163,543,5
Familial glucocorticoid deficiency, 5A74.Y, C565974 C564577,H00256,https://www.genome.jp/entry/ds_ja:H00256,544,5
Achalasia Addisonianism Alacrima syndrome;Triple A syndrome;Allogrove syndrome, 5A74.Y, C536008,H00257,https://www.genome.jp/entry/ds_ja:H00257,545,5
Apparent mineralocorticoid excess syndrome;11-beta-ketoreductase deficiency, 5A72.1, D043204,H00259,https://www.genome.jp/entry/ds_ja:H00259,546,5
Cushing syndrome, 5A70, D003480,H01431,https://www.genome.jp/entry/ds_ja:H01431,547,5
Glucocorticoid resistance syndrome, 5A71.00, C564221,H01702,https://www.genome.jp/entry/ds_ja:H01702,548,5
Bilateral macronodular adrenal hyperplasia, 5A70.Y, C565662,H02049,https://www.genome.jp/entry/ds_ja:H02049,549,5
"Adrenal insufficiency, congenital, with 46XY sex reversal, partial or complete", 5A74.Y, D000309,H02314,https://www.genome.jp/entry/ds_ja:H02314,550,5
"Adrenal insufficiency, NR5A1 related", 5A74.Y, C566130,H02316,https://www.genome.jp/entry/ds_ja:H02316,551,5
Disordered steroidogenesis due to cytochrome P450 oxidoreductase, 5A71.01, D054882,H02315,https://www.genome.jp/entry/ds_ja:H02315,552,5
IMAGE syndrome, 5A74.Y, C564543,H02319,https://www.genome.jp/entry/ds_ja:H02319,553,5
Aromatase excess syndrome, 5A92, C537436,H00794,https://www.genome.jp/entry/ds_ja:H00794,554,5
Aromatase deficiency, 5A9Y, C537436,H02020,https://www.genome.jp/entry/ds_ja:H02020,554,5
Familial male-limited precocious puberty;Familial testotoxicosis;Gonadotropin-independent familial sexual precocity, 5A81.0, C536961,H02019,https://www.genome.jp/entry/ds_ja:H02019,555,5
Male hypogonadism, 5A81.1, D007006,H02027,https://www.genome.jp/entry/ds_ja:H02027,556,5
Hyperlipidemia, 5C80, D006949,H01635,https://www.genome.jp/entry/ds_ja:H01635,557,5
Bartter syndrome, GB90.43, D001477,H00239,https://www.genome.jp/entry/ds_ja:H00239,558,G
Gitelman syndrome, 5C64.41, D053579,H00240,https://www.genome.jp/entry/ds_ja:H00240,559,5
Zollinger-Ellison syndrome, 5A43.1, D015043,H01522,https://www.genome.jp/entry/ds_ja:H01522,560,5
Leprechaunism;Donohue syndrome, 5A44, D056731,H00719,https://www.genome.jp/entry/ds_ja:H00719,497,5
Werner syndrome, LD2B, D014898,H01733,https://www.genome.jp/entry/ds_ja:H01733,561,L
Wernicke encephalopathy;Wernicke-Korsakoff syndrome, 5B5A.10, D014899,H01565,https://www.genome.jp/entry/ds_ja:H01565,389,5
Beriberi, 5B5A.0, D001602,H01566,https://www.genome.jp/entry/ds_ja:H01566,562,5
Riboflavin deficiency, 5B5B, D012257,H02544,https://www.genome.jp/entry/ds_ja:H02544,563,5
Pellagra, 5B5C.0, D010383,H01582,https://www.genome.jp/entry/ds_ja:H01582,564,5
Prohormone convertase 1/3 deficiency, 5B81.Y, C563423,H02105,https://www.genome.jp/entry/ds_ja:H02105,565,5
Genetic obesity, 5B81.Y, D009765,H02106,https://www.genome.jp/entry/ds_ja:H02106,566,5
Morbid obesity and spermatogenic failure, 5B81.Y, D009767,H02235,https://www.genome.jp/entry/ds_ja:H02235,567,5
AL amyloidosis;Immunoglobulin light chain amyloidosis, 5D00.0, D000075363,H02499,https://www.genome.jp/entry/ds_ja:H02499,568,5
Cherubism, LD24.22, D002636,H00497,https://www.genome.jp/entry/ds_ja:H00497,569,L
Amelogenesis imperfecta, LA30.6, D000567,H00615,https://www.genome.jp/entry/ds_ja:H00615,570,L
Amelogenesis imperfecta hypoplastic-hypomaturation with taurodontism, LA30.6, C566293,H00618,https://www.genome.jp/entry/ds_ja:H00618,571,L
Tooth agenesis;Hypodontia, LA30.1, D000848,H00625,https://www.genome.jp/entry/ds_ja:H00625,572,L
Primary failure of tooth eruption, DA07.6, C565114,H00680,https://www.genome.jp/entry/ds_ja:H00680,573,D
Hereditary gingival fibromatosis, DA0D.1, D005351,H01250,https://www.genome.jp/entry/ds_ja:H01250,574,D
Prepubertal periodontitis, DA0C.1, D010518,H02050,https://www.genome.jp/entry/ds_ja:H02050,575,D
Dentin dysplasia, LA30.7, D003805,H02348,https://www.genome.jp/entry/ds_ja:H02348,576,L
Peutz-Jeghers syndrome, LD2D.0, D010580,H00666,https://www.genome.jp/entry/ds_ja:H00666,577,L
Primary bile acid malabsorption, DA96.02, C567652,H01016,https://www.genome.jp/entry/ds_ja:H01016,578,D
Juvenile polyposis syndrome, 2E92.40, C537702,H01023,https://www.genome.jp/entry/ds_ja:H01023,579,2
Hereditary mixed polyposis syndrome, 2E92.40, C563365 C566451,H01024,https://www.genome.jp/entry/ds_ja:H01024,580,2
Familial adenomatous polyposis, 2E92.4, D011125,H01025,https://www.genome.jp/entry/ds_ja:H01025,581,2
Congenital diarrhea, KB8C, C536210 C537470 C562576,H01174,https://www.genome.jp/entry/ds_ja:H01174,582,K
Chronic idiopathic intestinal pseudo-obstruction;CIIP, DA90.2, D007418,H01276,https://www.genome.jp/entry/ds_ja:H01276,583,D
Short bowel syndrome, KB89.1, D012778,H01469,https://www.genome.jp/entry/ds_ja:H01469,584,K
Gastroesophageal reflux disease, DA22, D005764,H01602,https://www.genome.jp/entry/ds_ja:H01602,585,D
Irritable bowel syndrome, DD91.0, D043183,H01615,https://www.genome.jp/entry/ds_ja:H01615,586,D
Peptic ulcer, DA60 DA61 DA62 DA63, D010437,H01634,https://www.genome.jp/entry/ds_ja:H01634,587,D
Isolated hypoganglionosis, LB16.Y DB32.3, D006627,H01871,https://www.genome.jp/entry/ds_ja:H01871,588,D L
Cronkhite-Canada syndrome, LD27.01, D044483,H01874,https://www.genome.jp/entry/ds_ja:H01874,589,L
Barrett esophagus, DA23, D001471,H01901,https://www.genome.jp/entry/ds_ja:H01901,590,D
