drugbank_accession_number,generic_name,type,Sequence,groups,ECFP,MeSH,MyID,ecfp_cluster
DB00294,Etonogestrel,Small Molecule,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],approved investigational,"[35, 57, 80, 84, 124, 127, 176, 242, 253, 292, 294, 314, 408, 455, 519, 529, 574, 622, 649, 650, 674, 717, 748, 807, 841, 845, 883, 909, 915, 926, 940, 974, 1019, 1057, 1060, 1099, 1154, 1162, 1278, 1325, 1351, 1366, 1380, 1388, 1457, 1460, 1558, 1738, 1873, 1908, 1952, 2010]",C044815,177,D
DB00295,Morphine,Small Molecule,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,approved investigational,"[67, 77, 211, 231, 296, 311, 413, 486, 497, 554, 569, 580, 583, 656, 705, 750, 807, 873, 926, 935, 940, 1019, 1039, 1057, 1060, 1083, 1145, 1162, 1171, 1174, 1236, 1257, 1294, 1380, 1432, 1475, 1480, 1557, 1602, 1607, 1622, 1671, 1689, 1750, 1873, 1980]",D009020,178,C
DB05354,Morphine,Small Molecule,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,approved investigational,"[67, 77, 211, 231, 296, 311, 413, 486, 497, 554, 569, 580, 583, 656, 705, 750, 807, 873, 926, 935, 940, 1019, 1039, 1057, 1060, 1083, 1145, 1162, 1171, 1174, 1236, 1257, 1294, 1380, 1432, 1475, 1480, 1557, 1602, 1607, 1622, 1671, 1689, 1750, 1873, 1980]",D009020,178,C
DB00296,Ropivacaine,Small Molecule,CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,approved,"[80, 94, 294, 354, 381, 531, 581, 650, 689, 794, 807, 820, 890, 926, 935, 1019, 1028, 1039, 1057, 1076, 1088, 1145, 1152, 1325, 1380, 1391, 1480, 1485, 1692, 1714, 1722, 1750, 1803, 1816, 1873, 1917, 1998, 1999, 2022]",D000077212,179,A
DB00297,Bupivacaine,Small Molecule,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,approved investigational,"[80, 94, 294, 354, 381, 531, 581, 591, 650, 689, 794, 807, 890, 926, 935, 1019, 1028, 1039, 1057, 1076, 1088, 1145, 1152, 1325, 1380, 1391, 1480, 1485, 1692, 1714, 1722, 1750, 1816, 1873, 1882, 1911, 1917, 1960, 1998, 1999, 2022]",D002045,180,A
DB00298,Dapiprazole,Small Molecule,CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1,approved,"[74, 80, 218, 231, 290, 310, 318, 378, 407, 421, 457, 599, 926, 935, 987, 1028, 1057, 1088, 1121, 1145, 1164, 1199, 1243, 1295, 1380, 1391, 1480, 1482, 1496, 1508, 1580, 1647, 1652, 1714, 1722, 1738, 1750, 1791, 1860, 1873, 1998, 1999, 2043]",C035289,181,C
DB00299,Penciclovir,Small Molecule,NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2,approved,"[1, 80, 134, 221, 222, 314, 334, 378, 405, 482, 633, 650, 697, 739, 772, 807, 860, 932, 935, 979, 1040, 1095, 1114, 1145, 1171, 1375, 1380, 1420, 1452, 1455, 1457, 1499, 1560, 1681, 1724, 1745, 1855, 1873, 1959]",C053539,182,A
DB01730,Penciclovir,Small Molecule,NC1=NC(=O)C2=C(N1)N(CCC(CO)CO)C=N2,approved,"[1, 80, 134, 221, 222, 314, 334, 378, 405, 482, 633, 650, 697, 739, 772, 807, 860, 932, 935, 979, 1040, 1095, 1114, 1145, 1171, 1375, 1380, 1420, 1452, 1455, 1457, 1499, 1560, 1681, 1724, 1745, 1855, 1873, 1959]",C053539,182,A
DB00300,Tenofovir disoproxil,Small Molecule,[H][C@@](C)(CN1C=NC2=C(N)N=CN=C12)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C,approved investigational,"[1, 69, 80, 147, 149, 192, 201, 209, 245, 283, 316, 378, 397, 445, 452, 486, 489, 538, 585, 626, 650, 695, 728, 807, 884, 932, 935, 962, 1033, 1056, 1057, 1095, 1149, 1171, 1210, 1337, 1375, 1380, 1452, 1455, 1457, 1459, 1516, 1545, 1572, 1696, 1716, 1724, 1810, 1873, 1917, 1922, 1956, 1978]",D000068698,183,A
DB13426,Tenofovir disoproxil,Small Molecule,[H][C@@](C)(CN1C=NC2=C(N)N=CN=C12)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C,approved investigational,"[1, 69, 80, 147, 149, 192, 201, 209, 245, 283, 316, 378, 397, 445, 452, 486, 489, 538, 585, 626, 650, 695, 728, 807, 884, 932, 935, 962, 1033, 1056, 1057, 1095, 1149, 1171, 1210, 1337, 1375, 1380, 1452, 1455, 1457, 1459, 1516, 1545, 1572, 1696, 1716, 1724, 1810, 1873, 1917, 1922, 1956, 1978]",D000068698,183,A
DB00301,Flucloxacillin,Small Molecule,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(Cl)C=CC=C1F)C(O)=O,approved investigational,"[5, 18, 130, 233, 248, 314, 323, 361, 362, 366, 378, 387, 389, 461, 486, 561, 586, 597, 650, 656, 673, 675, 697, 698, 699, 753, 807, 835, 935, 936, 974, 1019, 1032, 1039, 1057, 1060, 1088, 1149, 1150, 1152, 1205, 1274, 1279, 1316, 1380, 1431, 1542, 1635, 1683, 1722, 1747, 1750, 1840, 1873, 1917, 1928, 1933, 1937, 1943, 2038]",D005436,184,C
DB00302,Tranexamic acid,Small Molecule,NC[C@H]1CC[C@@H](CC1)C(O)=O,approved,"[29, 80, 106, 336, 389, 650, 807, 895, 898, 926, 974, 981, 1019, 1171, 1250, 1325, 1431, 1671, 1917, 1990]",D014148,185,C
DB00303,Ertapenem,Small Molecule,[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@@]([H])(C3)C(=O)NC3=CC=CC(=C3)C(O)=O)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O,approved investigational,"[0, 1, 5, 116, 184, 191, 208, 227, 246, 263, 283, 314, 326, 340, 362, 389, 430, 438, 456, 470, 650, 687, 689, 703, 807, 875, 926, 935, 936, 960, 1019, 1029, 1039, 1057, 1065, 1088, 1114, 1138, 1152, 1249, 1292, 1309, 1380, 1385, 1507, 1509, 1574, 1638, 1676, 1710, 1729, 1750, 1816, 1817, 1873, 1895, 1917, 1922, 1958, 1985, 2043]",D000077727,186,C
DB00304,Desogestrel,Small Molecule,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H],approved,"[35, 57, 80, 124, 159, 176, 294, 408, 455, 519, 529, 574, 622, 649, 674, 717, 748, 807, 845, 883, 909, 915, 926, 940, 974, 1019, 1028, 1057, 1060, 1099, 1147, 1154, 1162, 1231, 1246, 1278, 1325, 1351, 1366, 1380, 1388, 1447, 1457, 1558, 1738, 1781, 1873, 1908, 1952, 2010, 2037]",D017135,187,D
DB00305,Mitomycin,Small Molecule,[H][C@]12CN3C4=C([C@@H](COC(N)=O)[C@@]3(OC)[C@@]1([H])N2)C(=O)C(N)=C(C)C4=O,approved,"[53, 80, 140, 147, 293, 308, 314, 344, 347, 416, 431, 499, 650, 695, 739, 807, 809, 841, 864, 866, 925, 926, 935, 960, 972, 1019, 1022, 1057, 1060, 1075, 1093, 1114, 1136, 1171, 1172, 1298, 1380, 1434, 1441, 1457, 1476, 1511, 1582, 1714, 1722, 1783, 1829, 1861, 1917, 1954]",D016685,188,C
DB00306,Talbutal,Small Molecule,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,approved illicit,"[1, 80, 283, 294, 314, 548, 650, 664, 694, 713, 940, 1057, 1060, 1114, 1267, 1336, 1366, 1380, 1382, 1455, 1464, 1544, 1645, 1741, 1815, 1846, 1848, 1974]",C446080,189,C
DB00307,Bexarotene,Small Molecule,CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C,approved investigational,"[106, 389, 456, 608, 650, 718, 725, 807, 875, 926, 953, 1022, 1041, 1057, 1060, 1066, 1138, 1162, 1274, 1366, 1377, 1380, 1385, 1391, 1493, 1593, 1686, 1697, 1722, 1750, 1873, 1917, 1980, 1991]",D000077610,190,A
DB00308,Ibutilide,Small Molecule,CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,approved,"[1, 80, 191, 227, 251, 263, 273, 294, 350, 409, 496, 591, 650, 692, 739, 794, 807, 843, 872, 881, 932, 1057, 1143, 1152, 1270, 1362, 1365, 1380, 1444, 1476, 1581, 1669, 1685, 1750, 1853, 1873, 1911, 1951, 1958, 1980, 1981]",C067192,191,A
DB00309,Vindesine,Small Molecule,[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C)[C@@]1([H])[C@](O)([C@H](O)[C@]2(CC)C=CC3)C(N)=O)[C@]1(C[C@@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=C2C=CC=C1)C(=O)OC,approved investigational,"[42, 54, 67, 68, 80, 83, 119, 138, 140, 157, 200, 249, 261, 270, 289, 294, 309, 343, 361, 376, 413, 442, 545, 547, 602, 638, 650, 674, 679, 695, 739, 787, 807, 833, 841, 875, 878, 926, 928, 930, 935, 978, 991, 1019, 1024, 1044, 1057, 1060, 1075, 1088, 1114, 1120, 1126, 1128, 1145, 1152, 1154, 1162, 1171, 1198, 1199, 1221, 1238, 1239, 1257, 1275, 1295, 1299, 1312, 1333, 1351, 1357, 1380, 1444, 1446, 1480, 1536, 1573, 1612, 1711, 1725, 1734, 1738, 1745, 1750, 1783, 1854, 1863, 1873, 1897, 1917, 1948, 1956, 1962, 1970, 1980]",D014751,192,C
DB00310,Chlorthalidone,Small Molecule,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12,approved,"[113, 129, 314, 342, 350, 352, 366, 392, 484, 556, 561, 650, 666, 691, 807, 833, 875, 884, 889, 984, 987, 1060, 1081, 1088, 1114, 1154, 1171, 1184, 1199, 1200, 1300, 1380, 1460, 1476, 1607, 1657, 1683, 1750, 1873, 1885, 1980]",D002752,193,A
DB00312,Pentobarbital,Small Molecule,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,approved investigational vet_approved,"[1, 80, 283, 294, 314, 524, 548, 597, 646, 650, 713, 739, 794, 885, 1057, 1060, 1114, 1267, 1336, 1351, 1380, 1464, 1824, 1846, 1974]",D010424,194,C
DB00313,Valproic acid,Small Molecule,CCCC(CCC)C(O)=O,approved investigational,"[1, 20, 80, 294, 389, 501, 650, 739, 794, 807, 1057, 1130, 1824, 1844, 1877, 1917]",D014635,195,E
DB00510,Valproic acid,Small Molecule,CCCC(CCC)C(O)=O,approved investigational,"[1, 20, 80, 294, 389, 501, 650, 739, 794, 807, 1057, 1130, 1824, 1844, 1877, 1917]",D014635,195,E
DB00314,Capreomycin,Small Molecule,[H][C@@]1(CCN=C(N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CNC(=O)C[C@@H](N)CCCN)NC(=O)[C@H](C)NC(=O)[C@@H](N)CNC1=O)=C/NC(N)=O.[H][C@@]1(CCN=C(N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CNC(=O)C[C@@H](N)CCCN)NC(=O)[C@H](CO)NC(=O)[C@@H](N)CNC1=O)=C/NC(N)=O,approved,"[1, 41, 47, 80, 101, 115, 119, 140, 194, 197, 222, 250, 282, 301, 313, 314, 378, 382, 396, 431, 435, 443, 470, 472, 543, 550, 587, 650, 694, 702, 739, 772, 774, 786, 795, 807, 840, 878, 881, 925, 926, 968, 978, 981, 995, 1019, 1034, 1046, 1057, 1060, 1114, 1152, 1171, 1192, 1205, 1206, 1227, 1246, 1290, 1309, 1325, 1380, 1457, 1481, 1494, 1516, 1517, 1526, 1537, 1604, 1618, 1657, 1667, 1689, 1720, 1721, 1821, 1832, 1840, 1866, 1893, 1904, 1911, 1917, 1958, 2008]",D002207,196,C
DB00315,Zolmitriptan,Small Molecule,CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12,approved investigational,"[80, 119, 213, 273, 290, 301, 310, 314, 328, 364, 370, 441, 458, 476, 650, 652, 656, 693, 806, 875, 881, 926, 1019, 1057, 1114, 1163, 1243, 1278, 1288, 1349, 1357, 1380, 1539, 1592, 1599, 1675, 1733, 1750, 1752, 1754, 1780, 1873, 1879, 1923, 1937, 1939, 1951]",C089750,197,A
DB00316,Acetaminophen,Small Molecule,CC(=O)NC1=CC=C(O)C=C1,approved,"[191, 245, 530, 650, 745, 807, 843, 849, 1017, 1057, 1077, 1152, 1313, 1380, 1602, 1750, 1778, 1816, 1873, 1917]",D000082,198,E
DB00317,Gefitinib,Small Molecule,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,approved investigational,"[13, 80, 191, 216, 249, 329, 366, 378, 465, 489, 491, 523, 561, 653, 656, 673, 695, 699, 708, 747, 780, 794, 841, 843, 875, 888, 926, 935, 950, 1057, 1097, 1145, 1152, 1157, 1226, 1245, 1357, 1367, 1380, 1405, 1441, 1452, 1480, 1482, 1488, 1518, 1536, 1581, 1648, 1683, 1712, 1750, 1791, 1810, 1840, 1849, 1873, 1911, 1928, 1970]",D000077156,199,A
DB07998,Gefitinib,Small Molecule,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,approved investigational,"[13, 80, 191, 216, 249, 329, 366, 378, 465, 489, 491, 523, 561, 653, 656, 673, 695, 699, 708, 747, 780, 794, 841, 843, 875, 888, 926, 935, 950, 1057, 1097, 1145, 1152, 1157, 1226, 1245, 1357, 1367, 1380, 1405, 1441, 1452, 1480, 1482, 1488, 1518, 1536, 1581, 1648, 1683, 1712, 1750, 1791, 1810, 1840, 1849, 1873, 1911, 1928, 1970]",D000077156,199,A
DB00318,Codeine,Small Molecule,[H][C@]12C=C[C@H](O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4OC,approved illicit,"[67, 77, 94, 211, 231, 249, 296, 311, 413, 486, 497, 554, 569, 580, 656, 695, 705, 750, 807, 841, 873, 926, 935, 940, 1019, 1039, 1057, 1060, 1083, 1091, 1145, 1162, 1171, 1236, 1257, 1294, 1380, 1432, 1480, 1536, 1557, 1622, 1671, 1689, 1750, 1873, 1970, 1980, 2022]",D003061,200,C
DB09471,Codeine,Small Molecule,[H][C@]12C=C[C@H](O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4OC,approved illicit,"[67, 77, 94, 211, 231, 249, 296, 311, 413, 486, 497, 554, 569, 580, 656, 695, 705, 750, 807, 841, 873, 926, 935, 940, 1019, 1039, 1057, 1060, 1083, 1091, 1145, 1162, 1171, 1236, 1257, 1294, 1380, 1432, 1480, 1536, 1557, 1622, 1671, 1689, 1750, 1873, 1970, 1980, 2022]",D003061,200,C
DB00319,Piperacillin,Small Molecule,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C(O)=O,approved,"[1, 5, 18, 34, 80, 117, 130, 210, 218, 233, 284, 294, 295, 298, 314, 362, 387, 389, 573, 590, 650, 673, 675, 697, 718, 753, 807, 879, 926, 935, 1019, 1057, 1060, 1088, 1089, 1111, 1149, 1150, 1152, 1154, 1199, 1205, 1274, 1279, 1365, 1380, 1387, 1431, 1480, 1581, 1609, 1635, 1750, 1842, 1865, 1873, 1917, 1937, 1943, 2041]",D010878,201,C
DB00320,Dihydroergotamine,Small Molecule,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O,approved investigational,"[5, 80, 84, 94, 108, 119, 149, 202, 231, 252, 255, 314, 344, 371, 389, 400, 433, 446, 455, 458, 486, 551, 580, 634, 650, 656, 684, 689, 739, 806, 807, 820, 844, 926, 935, 974, 1019, 1027, 1028, 1039, 1041, 1057, 1060, 1066, 1074, 1088, 1102, 1105, 1114, 1118, 1145, 1152, 1154, 1173, 1199, 1236, 1274, 1281, 1292, 1293, 1325, 1351, 1377, 1380, 1456, 1480, 1511, 1689, 1730, 1734, 1750, 1751, 1754, 1760, 1783, 1797, 1873, 1879, 1917, 1937, 1984, 1995]",D004087,202,C
DB05743,Dihydroergotamine,Small Molecule,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O,approved investigational,"[5, 80, 84, 94, 108, 119, 149, 202, 231, 252, 255, 314, 344, 371, 389, 400, 433, 446, 455, 458, 486, 551, 580, 634, 650, 656, 684, 689, 739, 806, 807, 820, 844, 926, 935, 974, 1019, 1027, 1028, 1039, 1041, 1057, 1060, 1066, 1074, 1088, 1102, 1105, 1114, 1118, 1145, 1152, 1154, 1173, 1199, 1236, 1274, 1281, 1292, 1293, 1325, 1351, 1377, 1380, 1456, 1480, 1511, 1689, 1730, 1734, 1750, 1751, 1754, 1760, 1783, 1797, 1873, 1879, 1917, 1937, 1984, 1995]",D004087,202,C
DB00321,Amitriptyline,Small Molecule,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,approved,"[80, 118, 352, 401, 478, 652, 693, 694, 770, 792, 881, 926, 984, 1005, 1038, 1057, 1088, 1120, 1163, 1199, 1236, 1375, 1380, 1665, 1708, 1738, 1750, 1873, 1951]",D000639,203,A
DB00322,Floxuridine,Small Molecule,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O,approved,"[4, 80, 222, 240, 314, 464, 577, 601, 610, 650, 656, 699, 750, 758, 807, 849, 896, 926, 935, 989, 1019, 1114, 1257, 1292, 1361, 1373, 1380, 1401, 1463, 1469, 1516, 1629, 1745, 1764, 1819, 1840, 1873, 1921, 1928]",D005467,204,B
DB00323,Tolcapone,Small Molecule,CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O,approved withdrawn,"[9, 105, 125, 202, 235, 311, 354, 555, 650, 715, 716, 753, 807, 838, 839, 875, 1057, 1195, 1380, 1385, 1560, 1602, 1607, 1697, 1722, 1750, 1775, 1823, 1840, 1873, 1917, 1920, 1963]",D000077867,205,A
DB00324,Fluorometholone,Small Molecule,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,approved investigational,"[84, 251, 314, 315, 519, 529, 547, 650, 679, 687, 748, 760, 781, 787, 807, 835, 926, 967, 972, 1017, 1019, 1057, 1060, 1154, 1162, 1194, 1257, 1274, 1292, 1309, 1325, 1380, 1436, 1450, 1484, 1604, 1679, 1762, 1774, 1791, 1814, 1822, 1828, 1860, 1873, 1896, 1917, 1928, 1975, 2015, 2021]",D005469,206,D
DB00325,Nitroprusside,Small Molecule,O=N[Fe--](C#N)(C#N)(C#N)(C#N)C#N,approved investigational,"[51, 100, 650, 674, 725, 790, 910, 974, 979, 1273, 1384, 1827, 1856]",D009599,207,A
DB00326,Calcium glucoheptonate,Small Molecule,[Ca++].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)C([O-])=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)C([O-])=O,approved,"[1, 80, 222, 227, 389, 457, 482, 574, 650, 657, 715, 807, 829, 831, 888, 1226, 1308, 1401, 1411, 1794, 1900, 1917]",C007852,208,E
DB00327,Hydromorphone,Small Molecule,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O,approved illicit,"[61, 67, 231, 311, 314, 370, 413, 486, 519, 580, 583, 650, 656, 693, 750, 807, 873, 926, 935, 940, 1019, 1039, 1057, 1058, 1060, 1074, 1104, 1117, 1145, 1162, 1171, 1172, 1174, 1236, 1294, 1325, 1380, 1475, 1480, 1602, 1607, 1656, 1689, 1738, 1750, 1873, 1980, 2046]",D004091,209,C
DB00328,Indomethacin,Small Molecule,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,approved investigational,"[45, 60, 80, 145, 216, 239, 322, 325, 359, 389, 561, 650, 695, 716, 718, 781, 807, 816, 841, 858, 875, 914, 935, 1057, 1070, 1140, 1282, 1357, 1380, 1385, 1504, 1511, 1536, 1633, 1683, 1697, 1722, 1737, 1750, 1766, 1873, 1917, 1972, 2021, 2034]",D007213,210,A
DB00330,Ethambutol,Small Molecule,CC[C@@H](CO)NCCN[C@@H](CC)CO,approved,"[1, 48, 80, 222, 294, 482, 667, 782, 807, 911, 966, 1057, 1152, 1544, 1633, 1899, 1942]",D004977,211,E
DB00331,Metformin,Small Molecule,CN(C)C(=N)NC(N)=N,approved,"[140, 155, 228, 623, 807, 832, 881, 1057, 1104, 1119, 1152, 1163, 1171, 1451, 1653, 1812, 2020]",D008687,212,E
DB00332,Ipratropium,Small Molecule,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(CO)C1=CC=CC=C1)[N+]2(C)C(C)C,approved experimental,"[0, 1, 80, 119, 147, 221, 222, 283, 381, 389, 423, 482, 650, 658, 695, 803, 807, 854, 926, 1019, 1057, 1065, 1088, 1126, 1199, 1292, 1302, 1325, 1365, 1380, 1420, 1522, 1581, 1599, 1625, 1667, 1745, 1750, 1786, 1802, 1873, 1917]",D009241,213,C
DB00333,Methadone,Small Molecule,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,approved,"[1, 80, 114, 243, 283, 294, 389, 577, 650, 683, 807, 825, 881, 898, 902, 914, 985, 1057, 1088, 1163, 1199, 1226, 1273, 1318, 1380, 1417, 1503, 1657, 1750, 1873, 1917, 2017]",D008691,214,A
DB00334,Olanzapine,Small Molecule,CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2,approved investigational,"[14, 25, 95, 102, 103, 162, 207, 229, 352, 378, 407, 440, 588, 608, 675, 721, 754, 875, 926, 927, 935, 944, 1012, 1057, 1060, 1088, 1114, 1145, 1199, 1236, 1380, 1470, 1476, 1480, 1506, 1508, 1722, 1750, 1873, 1904, 1982, 2025]",D000077152,215,A
DB00335,Atenolol,Small Molecule,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,approved,"[1, 80, 102, 118, 140, 169, 227, 235, 283, 310, 322, 325, 430, 606, 650, 658, 695, 718, 782, 791, 807, 913, 1028, 1057, 1152, 1171, 1380, 1445, 1452, 1574, 1750, 1754, 1873, 1898, 1917, 2030, 2038]",D001262,216,A
DB00336,Nitrofural,Small Molecule,NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O,approved investigational vet_approved,"[140, 255, 270, 318, 364, 650, 656, 694, 715, 725, 753, 807, 838, 864, 924, 1035, 1056, 1152, 1171, 1195, 1216, 1244, 1380, 1526, 1604, 1655, 1750, 1794, 1818, 1867, 1873, 1917, 1963, 2008]",D009583,217,A
DB00337,Pimecrolimus,Small Molecule,[H][C@]1(CC[C@H](Cl)[C@@H](C1)OC)\C=C(/C)[C@@]1([H])OC(=O)[C@]2([H])CCCCN2C(=O)C(=O)[C@]2(O)O[C@@]([H])([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC)C(=O)C[C@H](O)[C@H]1C)OC,approved investigational,"[23, 53, 66, 80, 99, 103, 191, 207, 221, 231, 294, 305, 314, 349, 370, 486, 634, 650, 656, 684, 694, 695, 703, 750, 784, 786, 790, 798, 807, 825, 841, 849, 879, 890, 918, 926, 935, 936, 937, 941, 960, 989, 990, 1017, 1019, 1028, 1057, 1060, 1070, 1078, 1130, 1144, 1148, 1149, 1154, 1184, 1257, 1292, 1296, 1309, 1312, 1325, 1346, 1380, 1388, 1392, 1454, 1480, 1513, 1571, 1606, 1656, 1665, 1671, 1683, 1722, 1807, 1873, 1885, 1906, 1914, 1960, 1972, 1979, 1998, 2024, 2026]",C117268,218,C
DB00338,Omeprazole,Small Molecule,COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C,approved investigational vet_approved,"[80, 110, 119, 252, 322, 333, 343, 373, 378, 427, 462, 474, 626, 650, 695, 718, 752, 781, 841, 875, 944, 961, 989, 1057, 1076, 1097, 1114, 1205, 1226, 1256, 1265, 1380, 1391, 1452, 1535, 1536, 1599, 1722, 1739, 1745, 1746, 1750, 1773, 1855, 1858, 1873, 1897, 1972]",D009853,219,A
DB00339,Pyrazinamide,Small Molecule,NC(=O)C1=NC=CN=C1,approved investigational,"[140, 309, 378, 456, 552, 650, 807, 855, 970, 1071, 1125, 1171, 1380, 1452, 1535, 1586, 1603, 1792, 1866, 1873, 1917]",D011718,220,E
DB00340,Metixene,Small Molecule,CN1CCCC(CC2C3=CC=CC=C3SC3=CC=CC=C23)C1,approved,"[29, 80, 207, 301, 371, 397, 446, 484, 675, 739, 834, 926, 935, 949, 1019, 1027, 1028, 1057, 1069, 1088, 1145, 1153, 1166, 1174, 1199, 1325, 1380, 1468, 1480, 1585, 1746, 1750, 1873, 1975, 2044]",C005111,221,C
DB00341,Cetirizine,Small Molecule,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,approved,"[1, 13, 15, 59, 74, 80, 216, 389, 461, 533, 561, 650, 653, 684, 695, 807, 816, 926, 935, 1070, 1088, 1145, 1199, 1265, 1275, 1321, 1364, 1365, 1380, 1480, 1482, 1581, 1627, 1683, 1737, 1750, 1791, 1853, 1873, 1917, 1992, 2004]",D017332,222,A
DB00342,Terfenadine,Small Molecule,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,approved withdrawn,"[1, 33, 80, 114, 227, 263, 389, 392, 548, 653, 656, 739, 807, 808, 872, 925, 926, 935, 1019, 1057, 1088, 1096, 1145, 1199, 1261, 1325, 1339, 1362, 1365, 1380, 1417, 1437, 1480, 1482, 1556, 1610, 1665, 1750, 1791, 1853, 1873, 1908, 1911, 2017]",D016593,223,C
DB00343,Diltiazem,Small Molecule,COC1=CC=C(C=C1)[C@@H]1SC2=C(C=CC=C2)N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,approved investigational,"[5, 7, 80, 314, 322, 327, 397, 507, 521, 588, 650, 652, 675, 693, 695, 718, 748, 781, 807, 831, 841, 881, 935, 949, 1017, 1019, 1035, 1045, 1057, 1059, 1088, 1097, 1126, 1145, 1163, 1167, 1199, 1279, 1295, 1380, 1443, 1528, 1536, 1647, 1750, 1768, 1803, 1873, 1914, 1917, 1945, 1951, 2006]",D004110,224,A
DB00344,Protriptyline,Small Molecule,CNCCCC1C2=CC=CC=C2C=CC2=CC=CC=C12,approved,"[80, 138, 301, 371, 444, 547, 667, 780, 793, 832, 984, 1019, 1027, 1036, 1057, 1088, 1152, 1199, 1380, 1430, 1448, 1742, 1750, 1873, 1911, 1920, 1955, 1995]",D011530,225,A
