"sampleid","link","CCLE.name","Cell.line.primary.name","Cell.line.aliases","Gender","Site.Primary","Histology","Hist.Subtype1","Notes","Source","Expression.arrays","SNP.arrays","Oncomap","Hybrid.Capture.Sequencing","CCLE_rnaseq.sampleid","tissueid","Cellosaurus.Disease.Type","Cellosaurus.Accession.id","PharmacoDB.id","unique.tissueid.fromstudies","CellLine.Type","Metastatic"
"GCIY","http://www.broadinstitute.org/ccle/cell%20lines/GCIY_STOMACH","GCIY_STOMACH","GCIY",NA,"F","stomach","carcinoma","adenocarcinoma",NA,"RIKEN","BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_A12_419874","FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D11_411014","yes","yes","GCIY","Esophagus/Stomach","Gastric adenocarcinoma","CVCL_1228","GCIY_400_2019","stomach","Cancer cell line",TRUE
"GCT","http://www.broadinstitute.org/ccle/cell%20lines/GCT_SOFT_TISSUE","GCT_SOFT_TISSUE","GCT",NA,"M","soft_tissue","malignant_fibrous_histiocytoma-pleomorphic_sarcoma","NS",NA,"ATCC","CASED_p_NCLE_RNA4_HG-U133_Plus_2_D05_383696","FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E12_335306","yes","yes","GCT","Soft Tissue","Undifferentiated pleomorphic sarcoma","CVCL_1229","GCT_401_2019","soft_tissue","Cancer cell line",TRUE
"GDM-1","http://www.broadinstitute.org/ccle/cell%20lines/GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","GDM-1",NA,"F","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia",NA,"ATCC","CASED_p_NCLE_RNA4_HG-U133_Plus_2_E01_383664","FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B09_410896","yes","yes","GDM-1","Myeloid","Adult acute myeloid leukemia","CVCL_1230","GDM1_402_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"GI-1","http://www.broadinstitute.org/ccle/cell%20lines/GI1_CENTRAL_NERVOUS_SYSTEM","GI1_CENTRAL_NERVOUS_SYSTEM","GI-1",NA,"M","central_nervous_system","glioma","gliosarcoma",NA,"RIKEN","BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_F10_241180","HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E12_293398","yes","yes","GI-1","CNS/Brain","Gliosarcoma","CVCL_1231","GI1_404_2019","central_nervous_system","Cancer cell line",NA
"GLC-82",NA,NA,"GLC-82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cervix","Human papillomavirus-related endocervical adenocarcinoma","CVCL_3371","GLC82_406_2019","lung","Cancer cell line",NA
"GMS-10","http://www.broadinstitute.org/ccle/cell%20lines/GMS10_CENTRAL_NERVOUS_SYSTEM","GMS10_CENTRAL_NERVOUS_SYSTEM","GMS-10",NA,"M","central_nervous_system","glioma","astrocytoma_Grade_IV",NA,"DSMZ","NIECE_p_NCLE_RNA3_HG-U133_Plus_2_A11_296010","HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E10_293394","yes","yes","GMS-10","CNS/Brain","Glioblastoma","CVCL_1233","GMS10_407_2019","central_nervous_system","Cancer cell line",NA
"GOS-3","http://www.broadinstitute.org/ccle/cell%20lines/GOS3_CENTRAL_NERVOUS_SYSTEM","GOS3_CENTRAL_NERVOUS_SYSTEM","GOS-3",NA,"M","central_nervous_system","glioma","astrocytoma",NA,"DSMZ","BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_F07_241174","HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D09_293368","yes","yes","GOS-3","CNS/Brain","Glioblastoma","CVCL_2050","GOS3_408_2019","central_nervous_system","Cancer cell line",NA
"GP2d","http://www.broadinstitute.org/ccle/cell%20lines/GP2D_LARGE_INTESTINE","GP2D_LARGE_INTESTINE","GP2d",NA,"F","large_intestine","carcinoma","adenocarcinoma",NA,"ECACC","CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_E09_569518","MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B04_578442","yes","yes","GP2d","Bowel","Colon adenocarcinoma","CVCL_2450","Gp2D_410_2019","large_intestine","Cancer cell line",NA
"GR-M","http://www.broadinstitute.org/ccle/cell%20lines/GRM_SKIN","GRM_SKIN","GR-M",NA,"M","skin","malignant_melanoma","NS","Identical lines: GR-M and PSN1 share high SNP identity and are likely to be really PSN1 (pancreas)","ECACC","GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_C01_779806","MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H02_578396",NA,NA,NA,"Pancreas","Pancreatic adenocarcinoma","CVCL_2451","GRM_412_2019","skin","Cancer cell line",NA
"Granta-519","http://www.broadinstitute.org/ccle/cell%20lines/GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","GRANTA-519",NA,"F","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","mantle_cell_lymphoma",NA,"DSMZ","SILOS_p_NCLE_RNA9_HG-U133_Plus_2_A06_523556","AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G07_542862","yes","yes","GRANTA-519","Lymphoid","Mantle cell lymphoma","CVCL_1818","GRANTA519_414_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"GSS","http://www.broadinstitute.org/ccle/cell%20lines/GSS_STOMACH","GSS_STOMACH","GSS",NA,NA,"stomach","carcinoma","adenocarcinoma",NA,"RIKEN","BITTS_p_NCLE_RNA12_HG-U133_Plus_2_G03_698786","QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_C05_592630","yes","yes","GSS","Esophagus/Stomach","Gastric carcinoma","CVCL_8876","GSS_415_2019","stomach","Cancer cell line",TRUE
"GSU","http://www.broadinstitute.org/ccle/cell%20lines/GSU_STOMACH","GSU_STOMACH","GSU",NA,NA,"stomach","carcinoma","adenocarcinoma",NA,"RIKEN","BITTS_p_NCLE_RNA12_HG-U133_Plus_2_G11_698762","QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_D02_592746","yes","yes","GSU","Esophagus/Stomach","Gastric carcinoma","CVCL_8877","GSU_416_2019","stomach","Cancer cell line",TRUE
"H4","http://www.broadinstitute.org/ccle/cell%20lines/H4_CENTRAL_NERVOUS_SYSTEM","H4_CENTRAL_NERVOUS_SYSTEM","H4",NA,"M","central_nervous_system","glioma","NS",NA,"ATCC","CASED_p_NCLE_RNA4_HG-U133_Plus_2_D12_383660","FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_C03_411056","yes","yes","H4","CNS/Brain","Astrocytoma","CVCL_1239","H4_437_2019","central_nervous_system","Cancer cell line",NA
"HARA [Human squamous cell lung carcinoma]","http://www.broadinstitute.org/ccle/cell%20lines/HARA_LUNG","HARA_LUNG","HARA",NA,"M","lung","carcinoma","squamous_cell_carcinoma",NA,"HSRRB","CASED_p_NCLE_RNA4_HG-U133_Plus_2_A03_383722","FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B06_335222","yes","yes","HARA","Lung","Squamous cell lung carcinoma","CVCL_2914","HARA_442_2019","breast","Cancer cell line",TRUE
"HCC-56","http://www.broadinstitute.org/ccle/cell%20lines/HCC56_LARGE_INTESTINE","HCC56_LARGE_INTESTINE","HCC-56",NA,NA,"large_intestine","carcinoma","adenocarcinoma",NA,"HSRRB","MAKER_p_NCLE_RNA7_HG-U133_Plus_2_C11_454630","BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E01_464724","yes","yes","HCC-56","Bowel","Colon adenocarcinoma","CVCL_2917","HCC56_460_2019","large_intestine","Cancer cell line",NA
"HCC1143","http://www.broadinstitute.org/ccle/cell%20lines/HCC1143_BREAST","HCC1143_BREAST","HCC1143",NA,"F","breast","carcinoma","ductal_carcinoma",NA,"ATCC","CASED_p_NCLE_RNA4_HG-U133_Plus_2_E02_383668","FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B11_410900","yes","yes","HCC1143","Breast","Ductal breast carcinoma","CVCL_1245","HCC1143_466_2019","breast","Cancer cell line",NA
"HCC1171","http://www.broadinstitute.org/ccle/cell%20lines/HCC1171_LUNG","HCC1171_LUNG","HCC-1171",NA,"M","lung","carcinoma","non_small_cell_carcinoma",NA,"KCLB","BITTS_p_NCLE_RNA12_HG-U133_Plus_2_G05_698912","QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_C04_592644","yes","yes","HCC-1171","Lung","Lung adenocarcinoma","CVCL_5126","HCC1171_446_2019","lung","Cancer cell line",NA
"HCC1187","http://www.broadinstitute.org/ccle/cell%20lines/HCC1187_BREAST","HCC1187_BREAST","HCC1187",NA,"F","breast","carcinoma","ductal_carcinoma",NA,"ATCC","CASED_p_NCLE_RNA4_HG-U133_Plus_2_G09_383594","LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B11_437316","yes","yes","HCC1187","Breast","Ductal breast carcinoma","CVCL_1247","HCC1187_469_2019","breast","Cancer cell line",NA
"HCC1195","http://www.broadinstitute.org/ccle/cell%20lines/HCC1195_LUNG","HCC1195_LUNG","HCC-1195",NA,"M","lung","carcinoma","mixed_adenosquamous_carcinoma",NA,"KCLB","GILDS_p_NCLE_RNA11_Redo_HG-U133_Plus_2_A11_587596","QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_E02_592714","yes","yes","HCC-1195","Lung","Adenosquamous lung carcinoma","CVCL_5127","HCC1195_447_2019","lung","Cancer cell line",NA
"HCC1359","http://www.broadinstitute.org/ccle/cell%20lines/HCC1359_LUNG","HCC1359_LUNG","HCC-1359",NA,"F","lung","carcinoma","large_cell_carcinoma",NA,"KCLB","CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_A12_569494",NA,"yes","yes","HCC-1359","Lung","Lung giant cell carcinoma","CVCL_5128","HCC1359_448_2019","lung","Cancer cell line",NA
"HCC1395","http://www.broadinstitute.org/ccle/cell%20lines/HCC1395_BREAST","HCC1395_BREAST","HCC1395",NA,"F","breast","carcinoma","ductal_carcinoma",NA,"ATCC","CASED_p_NCLE_RNA4_HG-U133_Plus_2_E12_383706","FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_H12_335378","yes","yes","HCC1395","Breast","Ductal breast carcinoma","CVCL_1249","HCC1395_473_2019","breast","Cancer cell line",NA
"HCC1419","http://www.broadinstitute.org/ccle/cell%20lines/HCC1419_BREAST","HCC1419_BREAST","HCC1419",NA,"F","breast","carcinoma","ductal_carcinoma",NA,"ATCC","WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A07_474600","BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A08_464616","yes","yes","HCC1419","Breast","Ductal breast carcinoma","CVCL_1251","HCC1419_474_2019","breast","Cancer cell line",NA
"HCC1428","http://www.broadinstitute.org/ccle/cell%20lines/HCC1428_BREAST","HCC1428_BREAST","HCC1428",NA,"F","breast","carcinoma","NS",NA,"ATCC","WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A12_474732","VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_F08_698666","yes","yes","HCC1428","Breast","Breast adenocarcinoma","CVCL_1252","HCC1428_475_2019","breast","Cancer cell line",TRUE
"HCC1438","http://www.broadinstitute.org/ccle/cell%20lines/HCC1438_LUNG","HCC1438_LUNG","HCC-1438",NA,"M","lung","carcinoma","large_cell_carcinoma",NA,"KCLB","CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_A04_569436",NA,"yes","yes","HCC-1438","Lung","Large cell lung carcinoma","CVCL_L088","HCC1438_449_2019","lung","Cancer cell line",NA
"HCC15","http://www.broadinstitute.org/ccle/cell%20lines/HCC15_LUNG","HCC15_LUNG","HCC-15",NA,"M","lung","carcinoma","squamous_cell_carcinoma",NA,"DSMZ","BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E01_241138","HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_H01_293448","yes","yes","HCC-15","Lung","Squamous cell lung carcinoma","CVCL_2057","HCC15_450_2019","lung","Cancer cell line",NA
"HCC1500","http://www.broadinstitute.org/ccle/cell%20lines/HCC1500_BREAST","HCC1500_BREAST","HCC1500",NA,"F","breast","carcinoma","ductal_carcinoma",NA,"ATCC","SILOS_p_NCLE_RNA9_HG-U133_Plus_2_D09_523496","BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A04_464624","yes","yes","HCC1500","Breast","Ductal breast carcinoma","CVCL_1254","HCC1500_478_2019","breast","Cancer cell line",NA
"HCC1569","http://www.broadinstitute.org/ccle/cell%20lines/HCC1569_BREAST","HCC1569_BREAST","HCC1569",NA,"F","breast","carcinoma","metaplastic_carcinoma",NA,"ATCC","CASED_p_NCLE_RNA4_HG-U133_Plus_2_E06_383684","VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_G07_698658","yes","yes","HCC1569","Breast","Ductal breast carcinoma","CVCL_1255","HCC1569_480_2019","breast","Cancer cell line",NA
"HCC1588","http://www.broadinstitute.org/ccle/cell%20lines/HCC1588_LUNG","HCC1588_LUNG","HCC-1588",NA,"F","lung","carcinoma","squamous_cell_carcinoma","Identical lines: HCC-1588 and LS513 share high SNP identity. Really is LS513","KCLB","BITTS_p_NCLE_RNA12_HG-U133_Plus_2_F03_698802",NA,"yes","yes","HCC-1588","Lung","Squamous cell lung carcinoma","CVCL_A351","HCC1588_451_2019","lung","Cancer cell line",NA
"HCC1599","http://www.broadinstitute.org/ccle/cell%20lines/HCC1599_BREAST","HCC1599_BREAST","HCC1599",NA,"F","breast","carcinoma","ductal_carcinoma",NA,"ATCC","SILOS_p_NCLE_RNA9_HG-U133_Plus_2_D10_523634","BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H11_464630","yes","yes","HCC1599","Breast","Ductal breast carcinoma","CVCL_1256","HCC1599_482_2019","breast","Cancer cell line",NA
"HCC1806","http://www.broadinstitute.org/ccle/cell%20lines/HCC1806_BREAST","HCC1806_BREAST","HCC1806",NA,"F","breast","carcinoma","ductal_carcinoma",NA,"ATCC","SILOS_p_NCLE_RNA9_HG-U133_Plus_2_A05_523512","FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B05_410888","yes","yes","HCC1806","Breast","Squamous cell breast carcinoma, acantholytic variant","CVCL_1258","HCC1806_483_2019","breast","Cancer cell line",NA
"HCC1833","http://www.broadinstitute.org/ccle/cell%20lines/HCC1833_LUNG","HCC1833_LUNG","HCC-1833",NA,NA,"lung","carcinoma","adenocarcinoma",NA,"KCLB","GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_B01_779640",NA,"yes","yes","HCC-1833","Lung","Lung adenocarcinoma","CVCL_5129","HCC1833_452_2019","lung","Cancer cell line",NA
"HCC1897","http://www.broadinstitute.org/ccle/cell%20lines/HCC1897_LUNG","HCC1897_LUNG","HCC-1897","HCC1897",NA,"lung","carcinoma","squamous_cell_carcinoma",NA,"Academic Lab / Achilles","RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_D01_767822","EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_E08_780228",NA,NA,NA,"Lung","Squamous cell lung carcinoma","CVCL_V578","HCC1897_453_2019","lung","Cancer cell line",NA
"HCC1937","http://www.broadinstitute.org/ccle/cell%20lines/HCC1937_BREAST","HCC1937_BREAST","HCC1937",NA,"F","breast","carcinoma","ductal_carcinoma",NA,"ATCC","CASED_p_NCLE_RNA4_HG-U133_Plus_2_E05_383680","LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B04_437302","yes",NA,"HCC1937","Breast","Ductal breast carcinoma","CVCL_0290","HCC1937_485_2019","breast","Cancer cell line",NA
"HCC1954","http://www.broadinstitute.org/ccle/cell%20lines/HCC1954_BREAST","HCC1954_BREAST","HCC1954",NA,"F","breast","carcinoma","ductal_carcinoma",NA,"ATCC","BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_F08_419788","PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A04_437564","yes","yes","HCC1954","Breast","Ductal breast carcinoma","CVCL_1259","HCC1954_486_2019","breast","Cancer cell line",NA
"HCC202","http://www.broadinstitute.org/ccle/cell%20lines/HCC202_BREAST","HCC202_BREAST","HCC202",NA,"F","breast","carcinoma","ductal_carcinoma",NA,"ATCC","MAKER_p_NCLE_RNA7_HG-U133_Plus_2_G10_454732","LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B12_437318","yes","yes","HCC202","Breast","Ductal breast carcinoma","CVCL_2062","HCC202_487_2019","breast","Cancer cell line",NA
"HCC2108","http://www.broadinstitute.org/ccle/cell%20lines/HCC2108_LUNG","HCC2108_LUNG","HCC-2108",NA,"M","lung","carcinoma","adenocarcinoma",NA,"KCLB","CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_A09_569560",NA,"yes","yes","HCC-2108","Lung","Lung adenocarcinoma","CVCL_A352","HCC2108_454_2019","lung","Cancer cell line",NA
"HCC2157","http://www.broadinstitute.org/ccle/cell%20lines/HCC2157_BREAST","HCC2157_BREAST","HCC2157",NA,"F","breast","carcinoma","ductal_carcinoma",NA,"ATCC","AGENT_p_NCLE_RNA6_HG-U133_Plus_2_B01_436616","BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A07_464618","yes","yes","HCC2157","Breast","Ductal breast carcinoma","CVCL_1261","HCC2157_488_2019","breast","Cancer cell line",NA
"HCC2218","http://www.broadinstitute.org/ccle/cell%20lines/HCC2218_BREAST","HCC2218_BREAST","HCC2218",NA,"F","breast","carcinoma","ductal_carcinoma",NA,"ATCC","BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_B03_419876","PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A05_437578","yes","yes","HCC2218","Breast","Ductal breast carcinoma","CVCL_1263","HCC2218_490_2019","breast","Cancer cell line",NA
"HCC2279","http://www.broadinstitute.org/ccle/cell%20lines/HCC2279_LUNG","HCC2279_LUNG","HCC-2279",NA,"F","lung","carcinoma","adenocarcinoma",NA,"KCLB","BITTS_p_NCLE_RNA12_HG-U133_Plus_2_E07_698836","VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_B12_698578","yes","yes","HCC-2279","Lung","Adenosquamous lung carcinoma","CVCL_5131","HCC2279_455_2019","lung","Cancer cell line",NA
"HCC2429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HCC2429","Lung",NA,"CVCL_5132",NA,"lung","Cancer cell line",NA
"HCC2450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HCC2450","Lung",NA,"CVCL_5133",NA,"lung","Cancer cell line",NA
"HCC2814","http://www.broadinstitute.org/ccle/cell%20lines/HCC2814_LUNG","HCC2814_LUNG","HCC-2814","HCC2814",NA,"lung","carcinoma","squamous_cell_carcinoma",NA,"Academic Lab / Achilles","RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_A12_767798",NA,NA,NA,NA,"Lung","Squamous cell lung carcinoma","CVCL_V586","HCC2814_456_2019","lung","Cancer cell line",NA
"HCC2935","http://www.broadinstitute.org/ccle/cell%20lines/HCC2935_LUNG","HCC2935_LUNG","HCC2935",NA,"M","lung","carcinoma","non_small_cell_carcinoma",NA,"ATCC","WATCH_p_NCLE_RNA8_HG-U133_Plus_2_D02_474658","VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_F02_698602","yes","yes","HCC2935","Lung","Lung adenocarcinoma","CVCL_1265","HCC2935_496_2019","lung","Cancer cell line",NA
"HCC33","http://www.broadinstitute.org/ccle/cell%20lines/HCC33_LUNG","HCC33_LUNG","HCC-33",NA,"M","lung","carcinoma","small_cell_carcinoma",NA,"DSMZ","BITTS_p_NCLE_RNA12_HG-U133_Plus_2_B10_698916","CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G04_490362","yes","yes","HCC-33","Lung","Small cell lung carcinoma","CVCL_2058","HCC33_457_2019","lung","Cancer cell line",TRUE
"HCC364","http://www.broadinstitute.org/ccle/cell%20lines/HCC364_LUNG","HCC364_LUNG","HCC364",NA,NA,"lung","carcinoma","adenocarcinoma",NA,"Academic Lab / Achilles","RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_C07_767802",NA,NA,NA,NA,"Lung","Lung adenocarcinoma","CVCL_5134","HCC364_499_2019","lung","Cancer cell line",NA
"HCC366","http://www.broadinstitute.org/ccle/cell%20lines/HCC366_LUNG","HCC366_LUNG","HCC-366",NA,"F","lung","carcinoma","mixed_adenosquamous_carcinoma",NA,"DSMZ","CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_H10_569572","ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_G01_256146","yes","yes","HCC-366","Lung","Adenosquamous lung carcinoma","CVCL_2059","HCC366_458_2019","lung","Cancer cell line",NA
"HCC38","http://www.broadinstitute.org/ccle/cell%20lines/HCC38_BREAST","HCC38_BREAST","HCC38",NA,"F","breast","carcinoma","ductal_carcinoma",NA,"ATCC","AGENT_p_NCLE_RNA6_HG-U133_Plus_2_F09_436452","FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H06_410918","yes","yes","HCC38","Breast","Ductal breast carcinoma","CVCL_1267","HCC38_500_2019","breast","Cancer cell line",NA
"HCC4006","http://www.broadinstitute.org/ccle/cell%20lines/HCC4006_LUNG","HCC4006_LUNG","HCC4006",NA,"M","lung","carcinoma","adenocarcinoma",NA,"ATCC","WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A11_474652","BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A06_464612","yes","yes","HCC4006","Lung","Lung adenocarcinoma","CVCL_1269","HCC4006_502_2019","lung","Cancer cell line",TRUE
"HCC44","http://www.broadinstitute.org/ccle/cell%20lines/HCC44_LUNG","HCC44_LUNG","HCC-44",NA,"F","lung","carcinoma","adenocarcinoma",NA,"DSMZ","NIECE_p_NCLE_RNA3_HG-U133_Plus_2_B04_302134","HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_F01_293400","yes","yes","HCC-44","Lung","Lung adenocarcinoma","CVCL_2060","HCC44_459_2019","lung","Cancer cell line",NA
"HCC461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HCC461","Lung","Lung adenocarcinoma","CVCL_5135","HCC461_505_2019","lung","Cancer cell line",NA
"HCC515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HCC515","Lung","Lung adenocarcinoma","CVCL_5136","HCC515_506_2019","lung","Cancer cell line",NA
"HCC70","http://www.broadinstitute.org/ccle/cell%20lines/HCC70_BREAST","HCC70_BREAST","HCC70",NA,"F","breast","carcinoma","ductal_carcinoma",NA,"ATCC","MAKER_p_NCLE_RNA7_HG-U133_Plus_2_C07_454622","FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G03_410962","yes","yes","HCC70","Breast","Ductal breast carcinoma","CVCL_1270","HCC70_509_2019","breast","Cancer cell line",NA
"HCC78","http://www.broadinstitute.org/ccle/cell%20lines/HCC78_LUNG","HCC78_LUNG","HCC-78",NA,"M","lung","carcinoma","adenocarcinoma",NA,"DSMZ","NIECE_p_NCLE_RNA3_HG-U133_Plus_2_C05_296046","HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_C10_293346","yes","yes","HCC-78","Lung","Lung adenocarcinoma","CVCL_2061","HCC78_461_2019","lung","Cancer cell line",TRUE
"HCC827","http://www.broadinstitute.org/ccle/cell%20lines/HCC827_LUNG","HCC827_LUNG","HCC827",NA,"F","lung","carcinoma","adenocarcinoma",NA,"ATCC","SILOS_p_NCLE_RNA9_HG-U133_Plus_2_B05_523590","AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G03_542786","yes","yes","HCC827","Lung","Lung adenocarcinoma","CVCL_2063","HCC827_512_2019","lung","Cancer cell line",NA
"HCC827 GR5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HCC827 GR5","Lung","Lung adenocarcinoma","CVCL_V622","HCC827GR5_462_2019","lung","Cancer cell line",NA
"HCC95","http://www.broadinstitute.org/ccle/cell%20lines/HCC95_LUNG","HCC95_LUNG","HCC-95",NA,"M","lung","carcinoma","squamous_cell_carcinoma",NA,"KCLB","CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_A01_569468","QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_E08_592780","yes","yes","HCC-95","Lung","Squamous cell lung carcinoma","CVCL_5137","HCC95_463_2019","lung","Cancer cell line",TRUE
"HCT 116","http://www.broadinstitute.org/ccle/cell%20lines/HCT116_LARGE_INTESTINE","HCT116_LARGE_INTESTINE","HCT 116",NA,"M","large_intestine","carcinoma","NS",NA,"ATCC","METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_G05_241002","ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A07_256014","yes","yes","HCT_116","Bowel","Colon carcinoma","CVCL_0291","HCT116_517_2019","large_intestine","Cancer cell line",NA
"HCT 15","http://www.broadinstitute.org/ccle/cell%20lines/HCT15_LARGE_INTESTINE","HCT15_LARGE_INTESTINE","HCT-15",NA,"M","large_intestine","carcinoma","adenocarcinoma","Identical lines: HRT18, HCT15 and DLD1 share high SNP identity","ATCC","BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_B01_241066","ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B09_256042","yes","yes","HCT-15","Bowel","Colon adenocarcinoma","CVCL_0292","HCT15_518_2019","large_intestine","Cancer cell line",NA
"HCT 8","http://www.broadinstitute.org/ccle/cell%20lines/HCT8_LARGE_INTESTINE","HCT8_LARGE_INTESTINE","HCT-8",NA,"M","large_intestine","carcinoma","adenocarcinoma",NA,"KCLB","GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_C05_779638",NA,"yes",NA,NA,"Bowel","Colon adenocarcinoma","CVCL_2478","HCT8_519_2019","large_intestine","Cancer cell line",NA
"HD-MY-Z","http://www.broadinstitute.org/ccle/cell%20lines/HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","HD-MY-Z",NA,NA,"haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","Hodgkin_lymphoma",NA,"DSMZ","NIECE_p_NCLE_RNA3_HG-U133_Plus_2_C01_296038","HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E04_293382","yes","yes","HD-MY-Z","Myeloid","Adult acute myeloid leukemia","CVCL_1273","HDMYZ_520_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"HDLM-2","http://www.broadinstitute.org/ccle/cell%20lines/HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","HDLM-2",NA,"M","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","Hodgkin_lymphoma",NA,"DSMZ","SILOS_p_NCLE_RNA9_HG-U133_Plus_2_H10_523618","CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F02_490448","yes","yes",NA,"Lymphoid","Hodgkin lymphoma","CVCL_0009","HDLM2_521_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
